WMSize,DurLevel,TPresent,NT,gap,NSub,curDur,repDur,presentColorDeg,respColorDeg,WMRP,WMTestTime,repWaitTime
3,2,1,23,2,1,0.8,0.7579947,1.832595715,1.832595715,1,1.4964343,0.526541
3,1,2,24,2,1,0.5,0.4301109,5.078908123,1.79768913,2,1.605754,0.7860322
1,2,2,25,2,1,0.8,0.6220685,4.677482395,1.675516082,2,2.7139534,0.6231224
5,3,1,26,2,1,1.1,0.8218498,4.956735076,4.956735076,1,1.229241732,0.6268201
1,4,2,27,2,1,1.4,1.342057,2.897246558,3.996803987,2,3.36547192,0.3648243
3,5,1,28,2,1,1.7,1.1179604,4.241150082,4.241150082,2,2.41202112,0.3963254
5,4,1,29,2,1,1.4,1.2460408,1.431169987,1.431169987,1,3.0082473,0.7974185
1,3,1,30,2,1,1.1,0.942089,3.316125579,3.316125579,1,3.76832641,0.9007112
5,5,2,31,1,1,1.7,1.5260665,3.874630939,1.658062789,2,2.2951252,0.6237659
3,3,2,32,1,1,1.1,0.9580341,4.276056667,1.727875959,2,0.6825074,0.4873799
1,2,2,33,1,1,0.8,0.7659803,0.890117919,4.71238898,2,0.7877811,0.4399409
5,5,1,34,1,1,1.7,1.8059281,3.874630939,3.874630939,2,1.1791464,0.4574974
1,2,1,35,1,1,0.8,0.846071,3.857177647,3.857177647,1,1.1286166,0.3807281
5,2,1,36,1,1,0.8,0.7420155,1.79768913,1.79768913,1,1.3306543,1.4123938
3,1,2,37,1,1,0.5,0.5500128,2.094395102,5.358160804,2,2.9412881,0.4903583
5,4,1,38,1,1,1.4,1.1101291,2.49582083,2.49582083,1,2.5333862,0.4884815
3,1,1,39,1,1,0.5,0.6058927,4.08407045,4.08407045,1,2.6170318,0.4056413
1,5,2,40,1,1,1.7,1.6859906,1.500983157,5.881759579,2,2.1095957,0.4298911
3,2,2,41,1,1,0.8,0.9099207,5.427973974,0.942477796,2,2.9978546,0.3064682
1,1,1,42,1,1,0.5,0.573887,3.804817769,3.804817769,1,0.8038498,0.5554022
5,1,2,43,1,1,0.5,0.4859814,5.166174586,2.28638132,2,1.92916671,0.3753993
5,3,1,44,1,1,1.1,1.0779378,3.822271062,3.822271062,1,1.39568852,0.3612869
5,4,2,45,1,1,1.4,1.2940108,5.305800926,0.925024504,2,2.521742342,0.2932739
1,1,2,46,1,1,0.5,0.6458677,6.23082543,0.785398163,1,2.04103722,0.4823183
1,4,2,47,1,1,1.4,0.9260388,4.764748858,3.333578871,2,2.425211442,0.576532
5,3,2,48,1,1,1.1,0.8778721,3.403392041,3.420845334,2,2.3716288,0.6772703
3,4,2,49,1,1,1.4,1.5738573,0.366519143,1.186823891,2,1.297502542,0.4460809
5,1,1,50,1,1,0.5,0.6540229,2.652900463,2.652900463,1,1.8541478,0.3622713
3,3,1,51,1,1,1.1,0.9018687,0.017453293,0.017453293,2,1.1404684,0.5297658
1,3,1,52,1,1,1.1,1.1419596,2.408554368,2.408554368,1,0.9213573,0.4358167
5,2,2,53,1,1,0.8,0.9014996,5.026548246,4.520402763,2,1.4740534,0.3017594
3,5,1,54,1,1,1.7,1.2377696,3.543018382,3.543018382,2,0.9704745,0.2999927
1,3,2,55,1,1,1.1,1.1339576,1.483529864,4.345869837,2,0.7239976,0.4969454
3,2,1,56,1,1,0.8,0.8220438,0.733038286,0.733038286,1,1.74230462,0.3198767
1,5,1,57,1,1,1.7,1.637978,5.340707511,5.340707511,1,2.0664093,0.3499387
3,4,1,58,1,1,1.4,1.4058339,3.228859116,3.228859116,1,1.0152228,0.3534122
1,4,1,59,1,1,1.4,1.1019802,0.506145483,0.506145483,1,0.8157407,0.3996236
3,5,2,60,1,1,1.7,1.6619562,4.886921906,4.101523742,2,1.6248252,0.3322261
5,1,2,61,1,1,0.5,0.8141859,2.321287905,1.727875959,2,1.2130032,0.7588098
5,3,2,62,1,1,1.1,0.942029,4.834562028,0.785398163,1,1.6597013,0.3138181
3,5,1,63,1,1,1.7,1.2138538,4.01425728,4.01425728,1,1.8233001,0.2704492
1,5,1,64,1,1,1.7,1.381938,3.577924967,3.577924967,1,0.9693491,0.3713842
3,4,1,65,1,1,1.4,1.2939681,1.535889742,1.535889742,2,3.6409057,0.2837751
3,1,2,66,1,1,0.5,0.7419994,1.448623279,3.892084232,2,3.08404571,0.5802379
3,5,2,67,1,1,1.7,1.1100083,2.234021443,5.585053606,2,1.4854905,0.2141563
5,2,2,68,1,1,0.8,0.9575168,2.443460953,5.288347634,2,2.4360186,0.32371
1,4,1,69,1,1,1.4,1.1899296,3.228859116,3.228859116,1,0.4520621,0.3160964
5,5,1,70,1,1,1.7,1.4220567,0.890117919,0.890117919,2,2.6446697,0.3430147
5,5,2,71,1,1,1.7,1.9099292,5.654866776,5.759586532,2,1.1302682,0.3440768
1,2,1,72,1,1,0.8,0.4861235,3.94444411,3.94444411,1,0.7453382,0.3421927
3,3,1,73,1,1,1.1,0.8458614,1.413716694,1.413716694,1,0.91560142,0.7923188
1,3,2,74,1,1,1.1,0.7498845,5.427973974,1.448623279,2,1.995628,0.3722135
3,2,2,75,1,1,0.8,1.1660517,1.308996939,1.256637061,1,2.00958482,0.4292797
1,2,2,76,1,1,0.8,0.8539629,3.333578871,0.628318531,2,3.382249,0.3625811
5,1,1,77,1,1,0.5,0.446031,4.57276264,4.57276264,2,1.095509,0.3804897
1,1,2,78,1,1,0.5,0.3260095,5.427973974,2.268928028,2,1.2120712,0.5049978
3,3,2,79,1,1,1.1,1.0060158,1.186823891,5.742133239,1,2.79978062,0.5289652
1,5,2,80,1,1,1.7,1.5659647,3.019419606,1.588249619,2,1.1477922,0.3733175
5,2,1,81,1,1,0.8,0.9258785,2.635447171,2.635447171,2,1.2714008,0.7832063
1,4,2,82,1,1,1.4,1.1020456,4.747295565,2.757620218,1,1.096594164,0.5334008
1,1,1,83,1,1,0.5,0.6220724,0.785398163,0.785398163,2,0.89829182,0.6735772
5,4,1,84,1,1,1.4,0.9499123,4.398229715,4.398229715,1,2.0314024,0.5594562
3,4,2,85,1,1,1.4,1.0939535,4.71238898,0.750491578,2,0.7261273,0.4391697
3,1,1,86,1,1,0.5,0.6378807,6.091199089,6.091199089,1,1.01466102,0.4553856
3,2,1,87,1,1,0.8,1.0139518,4.694935688,4.694935688,1,0.56643362,0.3197259
5,3,1,88,1,1,1.1,1.1099219,3.769911184,3.769911184,2,1.0902122,0.2528806
5,4,2,89,1,1,1.4,1.2539173,2.670353756,3.403392041,2,1.678735542,0.271057
1,3,1,90,1,1,1.1,0.8938627,5.864306287,5.864306287,1,0.836022332,0.3373029
1,1,1,91,1,1,0.5,0.8699991,3.351032164,3.351032164,1,0.4049554,0.3366633
5,2,1,92,1,1,0.8,0.7019614,1.239183769,1.239183769,2,1.1788585,0.2779167
1,4,1,93,1,1,1.4,1.2539069,1.762782545,1.762782545,1,0.64536342,0.2451284
5,1,1,94,1,1,0.5,0.5576937,5.881759579,5.881759579,1,1.3843467,0.3610175
1,2,1,95,1,1,0.8,0.6619044,2.49582083,2.49582083,1,0.630748232,0.5302082
1,1,2,96,1,1,0.5,0.4778397,4.537856055,3.94444411,2,0.81103702,0.4189775
3,4,2,97,1,1,1.4,1.1659622,5.899212872,6.056292504,1,1.6227052,0.2757994
5,5,2,98,1,1,1.7,1.2458704,0.191986218,3.263765701,2,0.88171,0.2911247
5,3,2,99,1,1,1.1,0.9338795,2.234021443,0.645771823,2,0.9448772,0.4354254
3,2,1,100,1,1,0.8,0.9820313,0.191986218,0.191986218,1,0.9352488,0.2602691
1,5,2,101,1,1,1.7,1.49386,1.93731547,5.969026042,2,0.5538724,0.1361524
3,4,1,102,1,1,1.4,1.253865,2.129301687,2.129301687,2,1.5480217,0.277201
1,3,2,103,1,1,1.1,0.9739136,5.951572749,5.113814708,2,0.8361943,0.3074759
1,3,1,104,1,1,1.1,0.9258087,1.396263402,1.396263402,1,0.6004911,0.5760703
3,1,1,105,1,1,0.5,0.597969,5.253441049,5.253441049,2,1.290343,0.5815655
3,2,2,106,1,1,0.8,0.9500007,3.857177647,1.675516082,2,1.1695968,0.3119433
1,4,2,107,1,1,1.4,1.278013,5.427973974,3.560471674,2,0.5405908,0.4120085
5,2,2,108,1,1,0.8,1.0140551,3.717551307,6.003932627,2,1.5489855,0.359728
1,5,1,109,1,1,1.7,1.5260662,1.79768913,1.79768913,1,0.8949364,0.308058
3,5,2,110,1,1,1.7,1.3334811,4.36332313,0.506145483,2,1.5965116,0.2649055
3,1,2,111,1,1,0.5,0.7258466,0.820304748,3.874630939,2,0.7948377,0.5623171
5,5,1,112,1,1,1.7,1.3740045,3.316125579,3.316125579,1,1.93727132,0.3043606
5,3,1,113,1,1,1.1,1.1419574,3.909537524,3.909537524,2,0.9881329,0.2810165
3,3,1,114,1,1,1.1,0.9820201,0.541052068,0.541052068,1,0.8592884,0.2899453
1,2,2,115,1,1,0.8,0.7420068,2.164208272,4.834562028,2,0.5889236,0.4899787
5,4,2,116,1,1,1.4,0.9340396,1.151917306,0.017453293,2,1.3707021,0.6706293
5,4,1,117,1,1,1.4,1.437996,1.850049007,1.850049007,2,0.981324,0.2610663
5,1,2,118,1,1,0.5,0.7578176,3.525565089,6.213372137,2,2.4014666,0.5945314
3,3,2,119,1,1,1.1,1.1020228,5.044001538,2.07694181,2,1.0818377,0.3103442
3,5,1,120,1,1,1.7,1.5979509,3.490658504,3.490658504,1,2.596471642,0.2836702
5,2,2,121,1,1,0.8,0.9019679,3.665191429,3.612831552,2,0.96019,1.5074099
3,4,1,122,1,1,1.4,1.1899845,0.436332313,0.436332313,1,0.9797024,0.2909212
3,1,1,123,1,1,0.5,0.5020061,0.715584993,0.715584993,1,0.9896477,0.3057483
1,1,1,124,1,1,0.5,0.3821795,3.438298626,3.438298626,1,0.5773916,0.9715555
5,5,2,125,1,1,1.7,0.9499997,1.082104136,5.375614096,2,1.7570358,0.6154418
3,3,2,126,1,1,1.1,0.8219917,4.886921906,3.682644722,2,0.7927055,0.3720028
1,5,1,127,1,1,1.7,1.1819384,5.637413484,5.637413484,1,1.017103,0.262251
1,2,2,128,1,1,0.8,0.9418008,0.06981317,2.28638132,2,0.7382661,0.3456294
1,4,1,129,1,1,1.4,1.189919,5.183627878,5.183627878,1,0.3986946,0.3020511
5,1,2,130,1,1,0.5,0.6617888,3.089232776,4.939281783,1,1.4895243,0.4997902
3,2,2,131,1,1,0.8,0.6299503,4.921828491,3.508111797,2,1.3176553,0.3193545
1,1,2,132,1,1,0.5,0.5020915,5.410520681,2.757620218,1,1.8640149,0.5580421
3,3,1,133,1,1,1.1,0.8058913,1.640609497,1.640609497,1,1.3280062,0.3790825
5,2,1,134,1,1,0.8,0.9659279,5.689773362,5.689773362,2,1.061759542,0.3000559
5,3,2,135,1,1,1.1,1.0218756,6.143558967,3.700098014,2,0.8086051,0.2887623
5,5,1,136,1,1,1.7,1.5739533,0.104719755,0.104719755,1,1.5676084,0.2774425
5,3,1,137,1,1,1.1,1.0140427,3.700098014,3.700098014,2,0.785819142,0.3983008
1,3,2,138,1,1,1.1,1.0619864,1.396263402,2.949606436,2,0.6942769,0.2713355
5,4,2,139,1,1,1.4,1.0699008,4.15388362,3.368485456,2,0.8667386,0.2598574
1,2,1,140,1,1,0.8,0.6618589,4.08407045,4.08407045,1,0.9525414,0.2653162
5,1,1,141,1,1,0.5,0.6058083,5.061454831,5.061454831,1,1.1031551,0.3118211
1,3,1,142,1,1,1.1,1.0859351,2.268928028,2.268928028,1,2.0067135,0.2642354
3,1,2,143,1,1,0.5,0.5418073,2.844886681,5.358160804,2,0.5991285,0.2756056
1,5,2,144,1,1,1.7,1.2137459,5.619960191,4.939281783,1,3.2613763,0.2678182
3,4,2,145,1,1,1.4,0.8379813,1.588249619,5.026548246,2,1.5366739,0.572666
3,5,2,146,1,1,1.7,1.4940503,1.117010721,5.323254219,2,0.925648364,0.2887761
3,5,1,147,1,1,1.7,1.213931,0.802851456,0.802851456,1,1.9600365,0.2377879
5,4,1,148,1,1,1.4,1.3896562,2.251474735,2.251474735,1,0.6371705,0.2671422
3,2,1,149,1,1,0.8,0.8540711,2.949606436,2.949606436,1,1.05268251,0.6443483
1,4,2,150,1,1,1.4,1.2140767,4.886921906,0.680678408,2,0.4986941,0.1157206
1,1,1,151,2,1,0.5,0.9659452,5.096361416,5.096361416,1,0.433389,0.5120778
1,5,1,152,2,1,1.7,0.9738598,1.93731547,1.93731547,1,0.662062,0.3170812
3,3,1,153,2,1,1.1,1.1500499,1.291543646,1.291543646,2,1.616836,0.5687494
5,2,1,154,2,1,0.8,0.7341158,0.366519143,0.366519143,1,1.864555442,0.5930037
3,4,2,155,2,1,1.4,0.8539427,2.967059728,5.480333851,2,2.50308,1.0715023
5,4,1,156,2,1,1.4,1.069998,5.201081171,5.201081171,1,1.6844389,0.8363392
1,5,2,157,2,1,1.7,1.3100424,0.837758041,4.956735076,2,1.7720607,0.4622813
5,4,2,158,2,1,1.4,1.0138421,2.268928028,0.122173048,2,1.4011864,0.4224528
5,1,2,159,2,1,0.5,0.774047,5.532693729,5.689773362,1,1.6392425,0.3184356
1,3,1,160,2,1,1.1,0.8140469,3.263765701,3.263765701,1,0.6167742,0.5631994
1,3,2,161,2,1,1.1,0.8138406,0.733038286,5.061454831,2,0.761806942,0.5813617
3,1,1,162,2,1,0.5,0.4856762,3.909537524,3.909537524,1,0.905090942,0.4169961
1,1,2,163,2,1,0.5,0.518058,5.724679947,3.211405824,1,0.579882954,0.5542594
5,1,1,164,2,1,0.5,0.5020507,2.181661565,2.181661565,2,1.0807834,0.6331849
1,2,2,165,2,1,0.8,0.6454387,3.665191429,4.415683008,2,0.7485262,0.5190607
5,3,2,166,2,1,1.1,0.9095599,1.134464014,3.560471674,2,1.705257342,0.4598745
3,1,2,167,2,1,0.5,0.6539988,1.291543646,3.595378259,2,0.9901332,0.962221
3,3,2,168,2,1,1.1,0.7499282,5.358160804,0.645771823,1,3.4386746,0.491616
5,5,1,169,2,1,1.7,1.1420669,2.129301687,2.129301687,2,1.1629503,0.5630112
3,4,1,170,2,1,1.4,1.1739815,2.897246558,2.897246558,1,1.2032488,0.4059172
5,3,1,171,2,1,1.1,1.0455061,5.707226654,5.707226654,1,0.864438,0.4729374
3,2,2,172,2,1,0.8,0.6699535,4.764748858,5.742133239,2,1.36106,0.3912524
1,4,1,173,2,1,1.4,1.3818746,5.358160804,5.358160804,1,0.6377684,0.4921173
1,2,1,174,2,1,0.8,0.7338108,2.303834613,2.303834613,1,0.442741,0.4455415
5,2,2,175,2,1,0.8,0.7578574,0.34906585,2.443460953,1,0.7500648,0.4580964
1,4,2,176,2,1,1.4,0.9178984,4.660029103,4.22369679,2,2.0582055,0.5609388
3,5,2,177,2,1,1.7,1.4618558,0.261799388,5.201081171,1,2.7066673,0.3091764
3,5,1,178,2,1,1.7,1.5899586,4.974188368,4.974188368,1,1.8837922,0.3157186
5,5,2,179,2,1,1.7,1.7258172,4.08407045,3.543018382,2,3.3902408,0.3737644
3,2,1,180,2,1,0.8,0.7418175,2.548180708,2.548180708,1,3.5436536,0.5841942
1,1,2,181,2,1,0.5,0.5900541,3.892084232,2.600540585,2,0.5577355,0.5251572
3,4,2,182,2,1,1.4,1.093925,0.680678408,5.427973974,1,2.1795662,0.5363905
1,1,1,183,2,1,0.5,0.4298762,3.124139361,3.124139361,1,0.6583516,0.4660501
5,1,2,184,2,1,0.5,0.414076,3.420845334,0.890117919,1,2.3730059,0.3006169
1,5,1,185,2,1,1.7,1.5740048,3.211405824,3.211405824,1,0.665938732,0.3714953
5,1,1,186,2,1,0.5,0.8140563,6.056292504,6.056292504,2,1.5531631,0.5721779
3,5,2,187,2,1,1.7,1.285909,0.767944871,2.28638132,2,0.9486618,0.3123027
5,4,2,188,2,1,1.4,1.3901054,2.35619449,4.625122518,2,0.87865702,0.3516589
3,4,1,189,2,1,1.4,1.4300839,3.996803987,3.996803987,1,2.426102232,0.3404782
1,3,2,190,2,1,1.1,1.3979068,6.143558967,1.919862177,2,0.5268058,0.3106039
5,3,1,191,2,1,1.1,0.9819116,2.251474735,2.251474735,1,1.121199832,0.2788917
5,5,2,192,2,1,1.7,1.4698441,0.122173048,5.096361416,2,1.2580234,0.6337296
3,2,1,193,2,1,0.8,1.1179788,5.934119457,5.934119457,2,1.3797824,0.3207174
3,1,1,194,2,1,0.5,0.4699789,0.261799388,0.261799388,1,0.840762242,0.4819487
5,2,2,195,2,1,0.8,0.6299977,1.850049007,0.174532925,2,2.71698322,0.3681033
5,3,2,196,2,1,1.1,0.8058608,1.308996939,4.380776423,2,0.7724061,0.3252639
3,3,1,197,2,1,1.1,0.8140557,5.480333851,5.480333851,1,1.9379261,0.3222963
5,5,1,198,2,1,1.7,1.1339863,1.832595715,1.832595715,1,2.873990432,0.5697143
1,5,2,199,2,1,1.7,2.0783955,0.733038286,0.558505361,1,0.7463175,0.2843473
1,2,2,200,2,1,0.8,0.7977734,6.108652382,3.001966313,2,0.460650442,0.3419004
1,4,2,201,2,1,1.4,1.3018916,6.038839212,4.276056667,2,0.50473602,0.4756665
1,3,1,202,2,1,1.1,1.0298313,1.308996939,1.308996939,1,0.4808375,0.2979745
3,1,2,203,2,1,0.5,0.7499746,3.647738137,0.698131701,2,1.148137398,0.3309179
5,4,1,204,2,1,1.4,1.1739736,3.263765701,3.263765701,2,1.7835575,0.3353712
1,4,1,205,2,1,1.4,1.1899832,5.375614096,5.375614096,1,0.3480649,0.6575881
1,2,1,206,2,1,0.8,0.6458535,2.705260341,2.705260341,1,1.5737419,0.3117593
3,3,2,207,2,1,1.1,1.1180851,3.106686069,1.745329252,2,2.0394154,0.3081175
5,2,1,208,2,1,0.8,1.206005,1.640609497,1.640609497,1,2.1443282,0.4873059
3,5,1,209,2,1,1.7,1.4779796,1.291543646,1.291543646,1,1.451609342,0.335885
3,2,2,210,2,1,0.8,0.6860559,5.026548246,0.27925268,2,1.449167342,0.466928
5,4,2,211,1,1,1.4,1.2699602,3.543018382,4.904375198,2,1.2660185,0.5423208
1,2,2,212,1,1,0.8,0.8540886,4.904375198,5.619960191,2,0.4318476,0.4723704
3,2,2,213,1,1,0.8,0.6940022,0.104719755,2.879793266,2,1.0431875,0.518893
1,5,1,214,1,1,1.7,1.2939385,2.234021443,2.234021443,1,0.70551512,0.5345971
5,2,1,215,1,1,0.8,0.6219506,2.373647783,2.373647783,2,1.934561,0.6859361
3,1,1,216,1,1,0.5,0.4859434,0.541052068,0.541052068,1,3.2074665,0.3903847
3,3,1,217,1,1,1.1,0.8058539,1.500983157,1.500983157,2,0.7412352,0.4847518
5,1,2,218,1,1,0.5,0.646383,1.029744259,3.857177647,1,1.4308239,0.4045593
1,3,1,219,1,1,1.1,0.9819461,0.698131701,0.698131701,1,1.5987775,0.4269136
5,3,1,220,1,1,1.1,1.038085,3.822271062,3.822271062,1,0.7707661,0.2918874
5,2,2,221,1,1,0.8,0.7500236,0.122173048,3.665191429,2,2.5074867,0.3971601
3,2,1,222,1,1,0.8,0.8298344,1.815142422,1.815142422,1,0.5765607,0.4886411
5,4,1,223,1,1,1.4,1.0940337,4.886921906,4.886921906,2,1.1167445,0.3461496
3,4,1,224,1,1,1.4,1.3980227,1.762782545,1.762782545,1,1.3112838,0.3611563
1,4,1,225,1,1,1.4,1.3739571,1.658062789,1.658062789,1,0.5005366,0.3160257
1,2,1,226,1,1,0.8,0.6779501,6.265732015,6.265732015,1,0.4725087,0.4575929
1,5,2,227,1,1,1.7,1.5259397,3.089232776,5.358160804,2,0.3525848,0.442053
3,4,2,228,1,1,1.4,1.5659944,5.288347634,6.091199089,1,1.839705232,0.2353371
1,1,1,229,1,1,0.5,0.597932,5.916666164,5.916666164,1,0.358182932,0.4353733
5,3,2,230,1,1,1.1,0.8938534,1.483529864,0.698131701,1,3.79395962,0.28511
3,5,2,231,1,1,1.7,1.4220299,1.448623279,5.550147021,2,0.8236286,0.287748
3,3,2,232,1,1,1.1,0.8859551,1.902408885,5.585053606,2,0.6845007,0.6038185
1,4,2,233,1,1,1.4,1.2298953,0.296705973,3.874630939,2,0.7800747,0.4255514
3,1,2,234,1,1,0.5,0.4620715,1.082104136,2.49582083,2,2.2220499,0.5461707
5,5,1,235,1,1,1.7,1.2539701,5.270894341,5.270894341,1,2.4614628,0.3786134
5,5,2,236,1,1,1.7,1.5579025,2.28638132,5.131268001,2,1.2469842,0.3845397
3,5,1,237,1,1,1.7,1.6619092,2.583087293,2.583087293,1,0.7037884,0.3145854
5,1,1,238,1,1,0.5,0.598027,2.583087293,2.583087293,1,0.6237288,0.3367572
1,1,2,239,1,1,0.5,0.4939747,0.27925268,3.543018382,2,0.5567531,0.3877971
1,3,2,240,1,1,1.1,0.6540663,4.78220215,5.148721293,1,0.511850842,0.5468899
1,5,1,241,2,1,1.7,1.6221161,4.066617157,4.066617157,1,0.3827375,0.3362201
5,3,2,242,2,1,1.1,1.0380216,4.991641661,3.001966313,2,0.7938471,0.3405412
1,1,2,243,2,1,0.5,0.5659738,5.131268001,1.79768913,2,0.511326,0.3666106
5,2,2,244,2,1,0.8,1.1099956,3.211405824,0.06981317,2,1.5838191,0.2911811
5,2,1,245,2,1,0.8,0.693856,3.543018382,3.543018382,2,0.725389642,0.3217731
3,5,1,246,2,1,1.7,0.9418875,1.8675023,1.8675023,1,3.217703,0.46146
3,2,1,247,2,1,0.8,0.8619453,4.206243497,4.206243497,1,1.984023598,0.3063599
1,2,1,248,2,1,0.8,0.9019569,3.525565089,3.525565089,1,2.4769906,0.5379303
3,4,1,249,2,1,1.4,1.0299215,0.27925268,0.27925268,1,0.861209232,0.4270662
1,3,2,250,2,1,1.1,1.0139641,4.188790205,3.089232776,2,2.5253736,0.3683016
1,1,1,251,2,1,0.5,0.4860566,4.066617157,4.066617157,1,0.354123298,0.3098109
3,1,1,252,2,1,0.5,0.5419607,4.974188368,4.974188368,1,0.5626555,0.3293694
5,1,2,253,2,1,0.5,0.3019886,5.916666164,2.775073511,2,0.7181653,0.4968055
3,4,2,254,2,1,1.4,1.0136355,1.047197551,1.431169987,1,1.8255334,0.3230466
3,5,2,255,2,1,1.7,1.4296172,2.897246558,2.49582083,2,0.6998792,0.3342405
1,2,2,256,2,1,0.8,0.9899424,2.670353756,2.879793266,1,0.8736546,0.2967366
3,2,2,257,2,1,0.8,1.0379289,3.333578871,5.235987756,2,0.6530935,0.3357307
5,1,1,258,2,1,0.5,0.7180325,0.610865238,0.610865238,1,0.923507,0.312091
5,4,1,259,2,1,1.4,1.0782611,3.717551307,3.717551307,2,2.0719561,0.4235449
3,3,2,260,2,1,1.1,0.7338944,0.593411946,2.967059728,1,2.5263082,0.2824194
3,3,1,261,2,1,1.1,1.0299124,4.939281783,4.939281783,1,1.13297622,0.526753
5,5,2,262,2,1,1.7,1.3978818,1.658062789,2.391101075,2,1.014595042,0.2688637
5,3,1,263,2,1,1.1,0.8379664,3.054326191,3.054326191,1,0.7511287,0.5868905
1,3,1,264,2,1,1.1,0.797951,0.261799388,0.261799388,1,1.0372535,0.3422848
3,1,2,265,2,1,0.5,0.3259769,0.680678408,1.658062789,2,0.8555199,0.8249541
1,5,2,266,2,1,1.7,0.9899658,3.473205211,5.497787144,2,2.901920842,0.4426258
5,5,1,267,2,1,1.7,1.4538437,0.628318531,0.628318531,1,0.9684844,0.4314113
1,4,2,268,2,1,1.4,1.4299379,3.700098014,4.258603375,2,0.6067432,0.5868331
5,4,2,269,2,1,1.4,1.269878,5.201081171,5.986479334,2,0.6682109,0.3193141
1,4,1,270,2,1,1.4,1.2378369,3.909537524,3.909537524,1,1.065666432,0.290594
3,2,2,271,1,1,0.8,0.7098847,4.520402763,1.972222055,2,0.7201516,0.483649
5,4,1,272,1,1,1.4,1.1020137,3.455751919,3.455751919,1,1.7613407,0.4847791
3,4,1,273,1,1,1.4,1.0460726,4.258603375,4.258603375,1,0.7308216,0.2922565
3,4,2,274,1,1,1.4,0.9500961,3.211405824,5.689773362,2,1.8330065,0.4947036
1,4,1,275,1,1,1.4,1.1020233,3.700098014,3.700098014,1,0.6194406,0.3369042
3,3,1,276,1,1,1.1,0.9257955,0.785398163,0.785398163,1,2.2779353,0.4399285
5,1,2,277,1,1,0.5,0.550008,0.645771823,3.263765701,2,0.6777817,0.3996124
5,5,2,278,1,1,1.7,1.1019453,4.71238898,3.595378259,1,1.63545472,0.3200628
3,1,1,279,1,1,0.5,0.5740482,1.064650844,1.064650844,1,3.0569443,0.2952645
1,3,2,280,1,1,1.1,0.8619432,1.308996939,5.515240436,2,0.4220024,0.3953539
1,2,1,281,1,1,0.8,0.6620528,4.188790205,4.188790205,1,1.7572436,0.4783135
1,1,1,282,1,1,0.5,0.5900129,5.166174586,5.166174586,1,0.454491,0.4521446
5,3,2,283,1,1,1.1,1.0139671,4.241150082,2.443460953,1,2.0415278,0.2896527
3,1,2,284,1,1,0.5,0.6774087,1.850049007,5.672320069,1,3.2812923,0.3336199
5,3,1,285,1,1,1.1,0.8218566,4.188790205,4.188790205,1,2.9457978,0.5153388
1,5,2,286,1,1,1.7,1.5980327,3.001966313,2.251474735,2,1.314054,0.2895234
3,3,2,287,1,1,1.1,1.1660037,3.368485456,2.059488517,2,0.7399017,0.5149418
1,5,1,288,1,1,1.7,1.1340553,3.892084232,3.892084232,1,2.0859633,0.3068758
3,5,2,289,1,1,1.7,1.2376348,1.762782545,1.832595715,1,0.8227132,0.5043879
1,1,2,290,1,1,0.5,0.7018803,4.4331363,4.4331363,1,0.8172013,0.4509651
