"","WMSize","DurLevel","TPresent","NT","NSub","curDur","repDur","repWaitTime","WMRP","WMRTTest","Crr","repBias","Exp","gap","Gap","valid","log_RP","log_dur"
"16063",1,2,1,223,9,0.8,0.8859454,0.4448403,1,0.8836421,1,0.171511212,"Exp6c",5,1.4,1,-0.121099955558139,-0.22314355131421
"16064",1,4,1,224,9,1.4,1.197799,0.4404439,1,0.6347768,1,0.136686951,"Exp6c",5,0.8,1,0.180485705983959,0.336472236621213
"16065",3,5,1,225,9,1.7,1.2858451,0.5040381,1,1.5084831,1,0.285448054,"Exp6c",5,0.5,1,0.251416167549736,0.53062825106217
"16066",5,1,1,226,9,0.5,0.8937693,0.7294456,1,0.8605527,1,0.124862271,"Exp6c",5,1.7,1,-0.112307590801481,-0.693147180559945
"16067",1,5,2,227,9,1.7,1.6138901,0.5375917,2,0.6718877,1,0.170217951,"Exp6c",5,0.5,1,0.478647475831767,0.53062825106217
"16068",5,2,2,228,9,0.8,0.9658404,0.4205819,2,0.7692426,1,0.160757551,"Exp6c",5,1.4,1,-0.03475667581082,-0.22314355131421
"16069",5,1,2,229,9,0.5,0.5498965,0.6704039,2,1.0655494,1,0.124862271,"Exp6c",5,1.7,1,-0.598025200282222,-0.693147180559945
"16070",5,4,2,230,9,1.4,1.2299245,0.5902526,2,0.7133146,1,0.090589152,"Exp6c",5,0.8,1,0.206952785386546,0.336472236621213
"16071",1,3,2,231,9,1.1,1.4620101,0.3102442,2,0.5395349,1,0.159282112,"Exp6c",5,1.1,1,0.379812269648458,0.0953101798043249
"16072",5,5,2,232,9,1.7,1.453944,1.0720731,2,0.7276021,1,0.185437621,"Exp6c",5,0.5,1,0.374279863926711,0.53062825106217
"16073",3,1,2,233,9,0.5,0.8860021,0.6204646,2,0.7080835,1,0.102886507,"Exp6c",5,1.7,1,-0.121035958176705,-0.693147180559945
"16074",3,2,1,234,9,0.8,0.7980092,0.39302,1,0.7815344,1,0.232063521,"Exp6c",5,1.4,1,-0.22563515277673,-0.22314355131421
"16075",5,2,1,235,9,0.8,0.9099724,0.3622707,1,0.8112377,1,0.160757551,"Exp6c",5,1.4,1,-0.0943410096015247,-0.22314355131421
"16076",1,1,1,236,9,0.5,0.7899618,0.5845886,1,0.5254019,1,0.147190753,"Exp6c",5,1.7,1,-0.235770689120563,-0.693147180559945
"16077",3,4,2,237,9,1.4,1.2619118,0.4424356,2,0.6981226,1,0.161931213,"Exp6c",5,0.8,1,0.232627872611691,0.336472236621213
"16078",5,3,2,238,9,1.1,1.0939258,0.4469726,2,0.6694957,1,0.098441264,"Exp6c",5,1.1,1,0.0897728772023465,0.0953101798043249
"16079",5,3,1,239,9,1.1,1.0378539,0.3705847,1,1.1020905,1,0.098441264,"Exp6c",5,1.1,1,0.037155023392196,0.0953101798043249
"16080",3,3,2,240,9,1.1,0.8940236,0.3213898,2,0.660827,1,0.21563867,"Exp6c",5,1.1,1,-0.112023105946759,0.0953101798043249
"16081",3,3,2,241,9,1.1,1.1659753,0.346076,2,0.5373999,1,0.21563867,"Exp6c",5,1.1,1,0.153557904170479,0.0953101798043249
"16082",3,4,1,242,9,1.4,1.2379026,1.3182881,1,0.9722094,1,0.161931213,"Exp6c",5,0.8,1,0.213418495884628,0.336472236621213
"16083",5,2,1,243,9,0.8,0.8540331,0.6488788,1,0.832955,1,0.160757551,"Exp6c",5,1.4,1,-0.157785327162468,-0.22314355131421
"16084",1,2,2,244,9,0.8,0.813889,0.9098877,2,0.5251475,1,0.171511212,"Exp6c",5,1.4,1,-0.205931285914326,-0.22314355131421
"16085",1,3,2,245,9,1.1,0.8219946,0.5218717,2,0.5121263,1,0.159282112,"Exp6c",5,1.1,1,-0.196021453290601,0.0953101798043249
"16086",5,3,1,246,9,1.1,0.9658989,0.4370017,1,0.8089812,1,0.098441264,"Exp6c",5,1.1,1,-0.0346961086317832,0.0953101798043249
"16087",5,1,2,247,9,0.5,0.6539149,0.5819308,2,0.7205897,1,0.124862271,"Exp6c",5,1.7,1,-0.424778058315742,-0.693147180559945
"16088",1,3,1,248,9,1.1,1.1501174,0.4214454,1,0.7384459,1,0.159282112,"Exp6c",5,1.1,1,0.139864024121162,0.0953101798043249
"16089",3,4,2,249,9,1.4,1.1499126,0.6393025,2,0.8918791,1,0.161931213,"Exp6c",5,0.8,1,0.139685939487012,0.336472236621213
"16090",1,5,2,250,9,1.7,1.3978972,0.4726263,2,0.5375872,1,0.170217951,"Exp6c",5,0.5,1,0.334969107488433,0.53062825106217
"16091",1,1,2,251,9,0.5,0.7259204,0.3905452,1,0.6937724,1,0.147190753,"Exp6c",5,1.7,1,-0.320314912041729,-0.693147180559945
"16092",1,4,1,252,9,1.4,1.1258099,1.2831483,1,0.6071383,1,0.136686951,"Exp6c",5,0.8,1,0.118502687755793,0.336472236621213
"16093",3,1,1,253,9,0.5,0.6060463,0.6516366,1,0.8454203,1,0.102886507,"Exp6c",5,1.7,1,-0.500798893191092,-0.693147180559945
"16094",5,3,2,254,9,1.1,1.0139342,0.6422943,2,0.8358621,1,0.098441264,"Exp6c",5,1.1,1,0.0138380115447081,0.0953101798043249
"16095",1,5,1,255,9,1.7,1.2220228,1.2732521,1,1.0815623,1,0.170217951,"Exp6c",5,0.5,1,0.200507518513153,0.53062825106217
"16096",3,2,2,256,9,0.8,0.9098848,0.4382314,2,0.6841236,1,0.232063521,"Exp6c",5,1.4,1,-0.0944372808914563,-0.22314355131421
"16097",3,5,1,257,9,1.7,1.1100084,0.5290548,1,1.6914874,1,0.285448054,"Exp6c",5,0.5,1,0.104367582863176,0.53062825106217
"16098",1,2,1,258,9,0.8,0.9099006,0.2802886,1,0.5249219,1,0.171511212,"Exp6c",5,1.4,1,-0.0944199162065871,-0.22314355131421
"16099",5,5,1,259,9,1.7,1.6140487,0.5694784,2,1.3263728,1,0.185437621,"Exp6c",5,0.5,1,0.478745742874579,0.53062825106217
"16100",5,5,2,260,9,1.7,1.461953,0.4897457,2,0.6958779,1,0.185437621,"Exp6c",5,0.5,1,0.379773213068019,0.53062825106217
"16101",1,1,1,261,9,0.5,0.6299899,0.4847908,1,0.747973,1,0.147190753,"Exp6c",5,1.7,1,-0.4620514914711,-0.693147180559945
"16102",5,1,1,262,9,0.5,0.4699941,0.4089546,1,1.2493994,1,0.124862271,"Exp6c",5,1.7,1,-0.755035137548314,-0.693147180559945
"16103",3,2,1,263,9,0.8,0.8058745,0.5425207,1,1.2364175,1,0.232063521,"Exp6c",5,1.4,1,-0.215827255795162,-0.22314355131421
"16104",5,2,2,264,9,0.8,0.7507496,0.3855511,1,1.1440468,1,0.160757551,"Exp6c",5,1.4,1,-0.286683104919372,-0.22314355131421
"16105",5,4,2,265,9,1.4,1.0379141,0.4053428,2,0.8158339,1,0.090589152,"Exp6c",5,0.8,1,0.0372130260206371,0.336472236621213
"16106",5,4,1,266,9,1.4,1.3579222,1.1327341,1,1.6134289,1,0.090589152,"Exp6c",5,0.8,1,0.305955737362814,0.336472236621213
"16107",3,5,2,267,9,1.7,1.509969,0.5061649,2,0.6214826,1,0.285448054,"Exp6c",5,0.5,1,0.412089120814769,0.53062825106217
"16108",1,4,2,268,9,1.4,1.2460482,0.4262925,2,0.6115415,1,0.136686951,"Exp6c",5,0.8,1,0.219977103405185,0.336472236621213
"16109",3,3,1,269,9,1.1,1.229975,0.3526992,1,1.3334217,1,0.21563867,"Exp6c",5,1.1,1,0.206993843974514,0.0953101798043249
"16110",3,1,2,270,9,0.5,0.5977893,0.4183017,2,0.8375962,1,0.102886507,"Exp6c",5,1.7,1,-0.514516928255352,-0.693147180559945
"16111",5,5,2,271,9,1.7,1.3420936,0.4903466,2,0.7251164,1,0.185437621,"Exp6c",5,0.5,1,0.294230782764102,0.53062825106217
"16112",1,5,2,272,9,1.7,1.493964,0.4738805,2,0.5593559,1,0.170217951,"Exp6c",5,0.5,1,0.401432990034761,0.53062825106217
"16113",1,1,2,273,9,0.5,0.6617936,0.5646393,2,0.6156045,1,0.147190753,"Exp6c",5,1.7,1,-0.412801554136732,-0.693147180559945
"16114",5,5,1,274,9,1.7,1.4859666,0.5723519,2,0.9741909,1,0.185437621,"Exp6c",5,0.5,1,0.396065469596131,0.53062825106217
"16115",1,4,1,275,9,1.4,1.1580572,0.6590309,1,0.5986018,1,0.136686951,"Exp6c",5,0.8,1,0.146743773440385,0.336472236621213
"16116",5,2,2,276,9,0.8,0.9579689,0.3633489,2,0.6104128,1,0.160757551,"Exp6c",5,1.4,1,-0.0429399650037794,-0.22314355131421
"16117",1,2,1,277,9,0.8,0.8699357,0.4155142,1,0.4721364,1,0.171511212,"Exp6c",5,1.4,1,-0.139335978110819,-0.22314355131421
"16118",1,5,1,278,9,1.7,1.2379473,0.6131185,1,0.5592378,1,0.170217951,"Exp6c",5,0.5,1,0.213454604697206,0.53062825106217
"16119",5,2,1,279,9,0.8,1.0139694,0.3723997,1,0.9771702,1,0.160757551,"Exp6c",5,1.4,1,0.0138727271988481,-0.22314355131421
"16120",3,3,1,280,9,1.1,1.1178335,0.4402359,1,0.7979493,1,0.21563867,"Exp6c",5,1.1,1,0.111392436987491,0.0953101798043249
"16121",3,1,2,281,9,0.5,0.6859495,0.5548002,2,0.7651349,1,0.102886507,"Exp6c",5,1.7,1,-0.376951269126331,-0.693147180559945
"16122",3,4,2,282,9,1.4,1.1420118,0.7299812,1,1.1069547,1,0.161931213,"Exp6c",5,0.8,1,0.132791443929998,0.336472236621213
"16123",1,2,2,283,9,0.8,0.8780457,0.5598676,2,0.8742442,1,0.171511212,"Exp6c",5,1.4,1,-0.130056636587685,-0.22314355131421
"16124",5,3,1,284,9,1.1,0.9419178,0.4631459,1,0.8269299,1,0.098441264,"Exp6c",5,1.1,1,-0.0598372693597461,0.0953101798043249
"16125",3,1,1,285,9,0.5,0.6540366,0.4160493,1,1.0089489,1,0.102886507,"Exp6c",5,1.7,1,-0.424591965788073,-0.693147180559945
"16126",5,3,2,286,9,1.1,0.8539969,0.597785,2,0.848022,1,0.098441264,"Exp6c",5,1.1,1,-0.157827715176736,0.0953101798043249
"16127",3,5,2,287,9,1.7,0.8619312,0.5968712,2,0.6866239,1,0.285448054,"Exp6c",5,0.5,1,-0.148579825888932,0.53062825106217
"16128",3,5,1,288,9,1.7,1.5340016,0.7875909,1,0.6431025,1,0.285448054,"Exp6c",5,0.5,1,0.427879745969292,0.53062825106217
"16129",5,4,2,289,9,1.4,1.2540354,0.4720795,1,1.3351718,1,0.090589152,"Exp6c",5,0.8,1,0.226366671477351,0.336472236621213
