WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
1,2,2,251,16,0.8,0.800105621,0.810257201,0.806008519,3.193952531,5.759586532,2
5,1,1,252,16,0.5,0.499993313,1.230034059,1.221947122,2.670353756,2.670353756,1
5,1,2,253,16,0.5,0.500079465,0.960122702,0.950052413,1.692969374,3.490658504,1
1,4,1,254,16,1.4,1.400152958,0.869968957,0.853986865,2.914699851,2.914699851,1
3,1,1,255,16,0.5,0.500046497,1.298907119,1.285870353,1.588249619,1.588249619,1
1,5,2,256,16,1.7,1.700208661,1.260149481,1.25409908,5.078908123,2.652900463,2
1,3,1,257,16,1.1,1.100197402,0.879904381,0.87005398,6.195918845,6.195918845,1
5,3,2,258,16,1.1,1.100122136,1.120345676,1.110104327,3.647738137,2.705260341,1
1,5,1,259,16,1.7,1.700221724,1.710015635,1.701931808,5.846852994,5.846852994,1
5,5,1,260,16,1.7,1.700262467,1.199945074,1.189959381,0.157079633,0.157079633,1
5,3,1,261,16,1.1,1.100106896,1.299979504,1.286065672,1.640609497,1.640609497,1
3,5,1,262,16,1.7,1.700189689,1.38015335,1.365805649,2.862339973,2.862339973,1
3,3,1,263,16,1.1,1.100235035,1.160619209,1.158111598,1.570796327,1.570796327,1
5,4,2,264,16,1.4,1.40009853,1.218955339,1.205973001,1.361356817,3.560471674,2
3,1,2,265,16,0.5,0.500110566,0.910122749,0.901867863,4.677482395,1.396263402,2
3,4,2,266,16,1.4,1.400131809,1.238920113,1.221974492,1.954768762,1.431169987,1
3,2,2,267,16,0.8,0.800079496,1.070251174,1.061917601,2.530727415,0.733038286,2
3,4,1,268,16,1.4,1.400147049,1.459994719,1.445923512,3.735004599,3.735004599,1
5,4,1,269,16,1.4,1.400161977,1.440043007,1.430223397,5.235987756,5.235987756,1
1,2,1,270,16,0.8,0.800195816,1.139148493,1.125806309,2.303834613,2.303834613,1
5,5,1,271,16,1.7,1.700181914,1.321720494,1.317900393,1.256637061,1.256637061,2
5,1,1,272,16,0.5,0.500075733,1.310300899,1.301887395,3.577924967,3.577924967,1
3,4,2,273,16,1.4,1.400142694,1.49030888,1.477861802,2.094395102,2.984513021,2
1,5,1,274,16,1.7,1.700167296,2.50020045,2.485931126,5.131268001,5.131268001,1
1,3,2,275,16,1.1,1.100152927,1.249301846,1.238000241,4.764748858,5.375614096,2
3,1,1,276,16,0.5,0.500131716,1.28014318,1.26990463,4.956735076,4.956735076,1
1,4,2,277,16,1.4,1.400253727,1.180086357,1.173964733,3.508111797,1.204277184,2
5,3,2,278,16,1.1,1.100192426,1.200117067,1.190005101,0.523598776,3.298672286,2
5,2,1,279,16,0.8,0.800077008,1.450224756,1.445951193,5.707226654,5.707226654,2
1,5,2,280,16,1.7,1.700211771,1.791261244,1.781958232,3.787364477,6.143558967,2
5,4,1,281,16,1.4,1.400149226,1.021924179,1.014068638,2.478367538,2.478367538,1
3,4,1,282,16,1.4,1.400262747,1.259953851,1.253948859,2.792526803,2.792526803,1
3,3,1,283,16,1.1,1.100038784,1.408445281,1.398017633,4.101523742,4.101523742,1
5,5,2,284,16,1.7,1.700194665,1.360308939,1.350098381,0.907571211,0.366519143,2
5,2,2,285,16,0.8,0.800100023,1.120298091,1.110189546,1.500983157,5.742133239,2
3,3,2,286,16,1.1,1.100158525,1.200281594,1.189835908,1.884955592,5.986479334,2
3,2,1,287,16,0.8,0.8000288,1.089901821,1.077792818,6.126105675,6.126105675,1
1,3,1,288,16,1.1,1.100216996,1.100086369,1.093933955,3.874630939,3.874630939,1
5,4,2,289,16,1.4,1.40025466,1.410198792,1.397926195,5.288347634,3.752457892,2
1,1,2,290,16,0.5,0.500062359,0.720137668,0.709940173,0.977384381,5.951572749,2
5,1,2,291,16,0.5,0.500164683,1.230328903,1.221911355,5.916666164,4.031710572,2
5,3,1,292,16,1.1,1.100098188,0.979928236,0.965975527,1.79768913,1.79768913,1
1,2,2,293,16,0.8,0.800064567,0.69013328,0.67799473,0.942477796,3.892084232,2
1,4,1,294,16,1.4,1.400131498,1.040033117,1.029927682,5.009094953,5.009094953,1
3,1,2,295,16,0.5,0.500038411,0.839433975,0.822187911,4.991641661,0.698131701,2
1,1,1,296,16,0.5,0.500110566,0.690023802,0.677923818,5.427973974,5.427973974,1
3,5,2,297,16,1.7,1.70019,0.720102835,0.710075776,0.872664626,2.949606436,2
1,2,1,298,16,0.8,0.800055859,0.790021843,0.774177531,3.508111797,3.508111797,1
3,2,2,299,16,0.8,0.800174356,0.800131125,0.790035954,4.328416545,4.468042885,1
3,5,1,300,16,1.7,1.700236964,1.021069816,1.013881717,4.57276264,4.57276264,1
5,1,1,301,16,0.5,0.500055205,0.411915293,0.406021022,0.052359878,0.052359878,1
3,3,2,302,16,1.1,1.100115916,0.940298507,0.933906921,5.602506899,3.892084232,2
5,3,2,303,16,1.1,1.100103164,1.280147223,1.270008198,6.23082543,1.134464014,2
3,4,2,304,16,1.4,1.400089822,1.130245644,1.126075338,1.151917306,5.672320069,2
5,2,2,305,16,0.8,0.800118373,0.890089551,0.885816921,1.640609497,1.483529864,1
1,4,2,306,16,1.4,1.400126522,1.230307132,1.222333716,5.707226654,2.583087293,2
5,4,1,307,16,1.4,1.400149848,1.099991198,1.093933644,1.396263402,1.396263402,1
3,5,1,308,16,1.7,1.700069015,0.929911177,0.918053786,4.36332313,4.36332313,1
5,2,1,309,16,0.8,0.800107176,1.138229128,1.126060098,3.612831552,3.612831552,1
1,1,2,310,16,0.5,0.500039344,1.080413018,1.077940551,5.654866776,0.087266463,1
1,2,1,311,16,0.8,0.800125837,0.708408301,0.693963253,1.291543646,1.291543646,1
1,1,1,312,16,0.5,0.500058938,0.71995759,0.709973763,1.79768913,1.79768913,1
5,4,2,313,16,1.4,1.40018126,1.33037173,1.317953265,4.660029103,5.497787144,2
1,3,1,314,16,1.1,1.100137376,1.070282587,1.062014016,0.226892803,0.226892803,1
1,3,2,315,16,1.1,1.10015697,1.36015312,1.350166493,1.396263402,2.251474735,2
5,5,2,316,16,1.7,1.700157654,1.250025892,1.237943014,3.298672286,1.396263402,2
3,4,1,317,16,1.4,1.400134919,1.54004478,1.52588369,0.820304748,0.820304748,1
