"","Nsub","Exp","model","sig_s","ks","ls","kr","mu_pr","sig_pr2","sig_mn","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5","m_WMCrr_1","se_WMCrr_1","wp_1","sig_post2_1","m_WMCrr_3","se_WMCrr_3","wp_3","sig_post2_3","m_WMCrr_5","se_WMCrr_5","wp_5","sig_post2_5","InP_1","InP_3","InP_5"
"11",3,"Exp3","Exp3",0.323780165348926,0,0,0.0180707573770692,0.819768195339814,0.092219214664851,0.027918152657675,1,1,1,1,1,1,1.01807075737707,1.03614151475414,1.05421227213121,0.85,0.0328699280934587,0.532433585699546,0.0489526713243266,0.7,0.0421845391529786,0.532433585699546,0.0489526713243266,0.6,0.0450971692941134,0.532433585699546,0.0489526713243266,0.848039714124887,0.877237936019795,0.907409184393135
"12",3,"Exp4","Exp4",0.257014525572799,0.0690962516554162,0.202618311902597,0.0773532909974845,0.747819070953475,0.0626165454976477,0.0212142669842467,0.594763376194806,0.594763376194806,0.392145064292209,1.06909625165542,1.13819250331083,1.20728875496625,1.07735329099748,1.15470658199497,1.23205987299245,0.741666666666667,0.0402938036516246,0.595898697751208,0.0372161035884459,0.675,0.0431158774197153,0.662381384433957,0.0413377767568443,0.541666666666667,0.0458670109070387,0.712863155701027,0.0444783053544753,0.807259580962678,0.861375548032966,0.912779477781598
"13",4,"Exp1","Exp1",0.356984575836585,0,0,0,0.944240064348956,0.0728176250694532,0.0842427518917739,1,1,1,1,1,1,1,1,1,0.866666666666667,0.031292414663908,0.63758879726838,0.0463027765653051,0.725,0.0411035196685566,0.63758879726838,0.0463027765653051,0.616666666666667,0.0447566107168272,0.63758879726838,0.0463027765653051,0.944240064348956,0.944240064348956,0.944240064348956
"14",4,"Exp2","Exp2",0.271899194831087,0.0584814624221916,0.225035597312784,0,1.16679388100695,0.0864931111014823,0.0574366462163352,0.549928805374432,0.549928805374432,0.324893208061648,1.05848146242219,1.11696292484438,1.17544438726657,1,1,1,0.816666666666667,0.0356194159305587,0.551589403181772,0.0474424014554331,0.725,0.0411035196685566,0.626677901355462,0.0539002492586786,0.608333333333333,0.0449337613747409,0.684596273527242,0.0589036657127758,1.11383962841816,1.09079115886926,1.07953521259734
"15",4,"Exp3","Exp3",0.339620004079443,0,0,0.011873398215603,0.982670886128843,0.0654499872594931,0.0407064711688994,1,1,1,1,1,1,1.0118733982156,1.02374679643121,1.03562019464681,0.825,0.0349775720811217,0.638184173497672,0.0416829056806508,0.641666666666667,0.0441409835571806,0.638184173497672,0.0416829056806508,0.608333333333333,0.0449337613747409,0.638184173497672,0.0416829056806508,1.00107735422203,1.01973501310294,1.03864904005272
"16",4,"Exp4","Exp4",0.361147664596091,0.0769228652514558,0.150590527809292,0.0385158338259247,0.87660493487532,0.066730504029294,0.0292634254300795,0.698818944381416,0.698818944381416,0.548228416572124,1.07692286525146,1.15384573050291,1.23076859575437,1.03851583382592,1.07703166765185,1.11554750147777,0.85,0.0328699280934587,0.710741274564067,0.0472987019434407,0.633333333333333,0.0443604098483567,0.752490732610509,0.0500734910974557,0.583333333333333,0.0453833382241447,0.783112410734206,0.0521148997167308,0.895294263471402,0.917377151766247,0.940919946416606
"17",5,"Exp1","Exp1",0.149766536645792,0,0,0,0.893111361431027,0.0968730125031274,0.0116816524965051,1,1,1,1,1,1,1,1,1,0.958333333333333,0.0183948536926662,0.189507089416897,0.0182008828447882,0.833333333333333,0.0343065790305767,0.189507089416897,0.0182008828447882,0.766666666666667,0.0389345666193704,0.189507089416897,0.0182008828447882,0.893111361431027,0.893111361431027,0.893111361431027
"18",5,"Exp2","Exp2",0.398048358194154,0.0993162139315593,0.538953862700018,0,1.29560019978621,0.292652268850272,0.052467454083244,-0.077907725400036,-0.077907725400036,-0.616861588100054,1.09931621393156,1.19863242786312,1.29794864179468,1,1,1,0.908333333333333,0.0265626871416717,0.542095108404311,0.155637791368671,0.675,0.0431158774197153,0.673503078921287,0.194396374009356,0.725,0.0411035196685566,0.758664260249504,0.219770063591254,1.19532235495079,1.18180224273248,1.1834350703865
"19",5,"Exp3","Exp3",0.197686734875507,0,0,0.0117193951959911,0.994245214481053,0.573800694117225,0.0177233878651886,1,1,1,1,1,1,1.01171939519599,1.02343879039198,1.03515818558797,0.883333333333333,0.0295514888401186,0.0842442410951796,0.0358084459452199,0.75,0.0398606427752317,0.0842442410951796,0.0358084459452199,0.716666666666667,0.0414811797723995,0.0842442410951796,0.0358084459452199,1.15274900710422,1.36544452364762,1.66585420366221
"20",5,"Exp4","Exp4",0.243602571080237,0.122568409775234,0.0779192685207357,0.0845522146292157,1.16864820958913,0.105418692123484,0.0860507049635163,0.844161462958529,0.844161462958529,0.766242194437793,1.12256840977523,1.24513681955047,1.3677052293257,1.08455221462922,1.16910442925843,1.25365664388765,0.858333333333333,0.0321000337206357,0.395741043624744,0.0413394070439099,0.6,0.0450971692941134,0.426917466157629,0.0445199025593599,0.575,0.0455063548455876,0.455955922912249,0.0474954285443638,1.18027202342366,1.18015009133552,1.17453581479367
