Exp,NSub,Intercept_low,slope_low,inP_low,Intercept_medium,slope_medium,inP_medium,Intercept_high,slope_high,inP_high
9,Exp4,0.38885529429484417,0.6732579225984815,1.190098616582515,0.4450816461501448,0.6488337744133064,1.267438647912528,0.5010970970135739,0.6194637763522699,1.3168183890883653
10,Exp1,0.48521252618089794,0.4887321909888001,0.949037896830052,0.48415728252784185,0.4894677440096961,0.948338281953799,0.48493613554444703,0.4892309376395887,0.9494234699795974
10,Exp2,0.667659622791978,0.2899043136912509,0.9402389504189722,0.7330880084056624,0.21324487139188186,0.9317867551783227,0.7757981856152149,0.16354100913213274,0.9274790445019739
10,Exp3,0.5353115372684187,0.3975570453871471,0.888568009916267,0.5640616624390836,0.4195876281802389,0.971829150833892,0.5929780424509358,0.44158043436635214,1.0618862213004192
10,Exp4,0.02403942877288274,0.9502388668905135,0.4830964905881504,0.02610130125992673,0.9345128211420249,0.3985711663734023,0.02933996025251313,0.9120106154537319,0.3334488632215068
11,Exp1,0.4114949824458159,0.5825826241622891,0.9858118187341641,0.41249786976598263,0.5820608512031453,0.9869806907380269,0.411632422363777,0.5826239524021606,0.98623872819938
11,Exp2,0.07011592620992228,0.9468158846416964,1.3183621789616766,0.07999486682980968,0.9252690822461106,1.0704387050786126,0.09270686455478565,0.901782486086468,0.9438934143293657
11,Exp3,0.5752411168941787,0.45218959974531997,1.0500733768959953,0.5811791291142733,0.45561342835655555,1.0675853509019448,0.5858709219152489,0.4598791870259088,1.084703473449286
11,Exp4,0.5433787530444802,0.4453688933286375,0.9797120040842757,0.6281521609120956,0.3700271144545428,0.9971098365102093,0.7088158405637613,0.3012543440701476,1.0144118028476443
12,Exp1,0.07318062600282103,0.870713091797616,0.5660327640310268,0.07391447406745959,0.8699140223786905,0.5681970910241413,0.07350370103420638,0.8703398332907828,0.5668950063827212
12,Exp2,0.7532913439938335,0.335967850458357,1.134419989324015,0.9274273578498736,0.1780467143119678,1.1283212489059549,1.0341663223354471,0.09149236490920389,1.1383132979747526
12,Exp3,0.6889018914362742,0.34415613197001393,1.050405325135672,0.7082271434692733,0.3537280795289416,1.0958655653073348,0.7273805400637242,0.36383035634202876,1.1433751159223677
12,Exp4,0.4778156992231856,0.5588993345518682,1.0832350450837647,0.5341141073823282,0.5033635016464736,1.0754628569447662,0.5920602418806932,0.4434544611837261,1.0638127531126313
13,Exp1,0.28459557104255595,0.7533078064880254,1.153646440898591,0.28447883311192024,0.7533487364026197,1.1533645883780572,0.28523688050382173,0.7530189470157128,1.1548937744709038
13,Exp2,0.4743057848928864,0.47870459590353376,0.9098599012492264,0.5606833517258585,0.3673608378553525,0.8862608976420956,0.6263453027980874,0.2843095942429549,0.8751623575777155
13,Exp3,0.3654899717218892,0.435734215717626,0.6477266244075293,0.3787008667218987,0.45242488485173094,0.6915961961115715,0.3929329243352769,0.46865317070202334,0.739503658757926
13,Exp4,0.380483274304365,0.4859065044058663,0.7401052095876911,0.4008470145862628,0.43364073665759834,0.7077610282572958,0.42186511151159967,0.3806480401318159,0.6811395439862412
14,Exp1,0.03970907945752085,0.9650356341851588,1.1357014071928537,0.04060835921442061,0.9645873573212514,1.1467192545556635,0.03982728204562174,0.9650908675427682,1.1408843257395551
14,Exp2,0.12190361306393852,0.8672529742446023,0.9183152117363486,0.13216775023254296,0.7942286649605825,0.64230399344605,0.14355017035142636,0.7206392189983422,0.5138522660078563
14,Exp3,0.40670527872123796,0.6481755096365043,1.1559891078106612,0.41313809740006663,0.6574370871176528,1.2060210894515555,0.4199388352026838,0.6659673617497837,1.2571790511324736
14,Exp4,0.333437088108786,0.6252493777066956,0.8897572632923243,0.3673890699857212,0.6018090034771978,0.9226453465646927,0.4019468360259226,0.5717493260868961,0.938578408652969
15,Exp1,0.3208463344291739,0.6602615640875548,0.944392216227957,0.3216114627168751,0.6596606549675942,0.9449729142725254,0.3215250158030583,0.6598316699182977,0.9451938565998598
15,Exp2,0.20261143208177712,0.7400362344846155,0.7793833562923473,0.2605506774198276,0.6385142076212406,0.7207770897585555,0.3179520062961239,0.5447956198399091,0.6984818691426109
15,Exp3,0.370605421405898,0.49095225088696365,0.7280366567805084,0.3791277710111083,0.5026592434427228,0.7623098771062519,0.38838058813116333,0.5140041607048217,0.7991438541828203
15,Exp4,0.11329167949938425,0.8957710195387747,1.0869498962577917,0.13791829382596815,0.8722627854409458,1.0797033135727816,0.1638321745827815,0.8420606487789454,1.0373106722053023
16,Exp1,0.31513518521244155,0.645299791025225,0.8884550311467473,0.3149357998512635,0.645042217701156,0.8872486125296856,0.314522328075983,0.6456068481518991,0.8874955016365349
16,Exp2,0.4915835026445312,0.5493282444755476,1.0907794788969398,0.5869590700457475,0.4520697458171534,1.071229532527103,0.6656897225377137,0.37371636650824475,1.0629205154639847
16,Exp3,0.3684763690649992,0.4690612313973653,0.6940091604815061,0.3830225935444908,0.4887626105113114,0.7492069269964172,0.3984861860502947,0.5080664261239803,0.810040638028751
16,Exp4,0.14711174178090364,0.7535129023048793,0.5968334373544607,0.1601900545320845,0.7007621910981432,0.5353269198165503,0.17455348266397056,0.639333903215044,0.4839753007559414
