"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","sig_wm2","log_lik"
"22494",1.14,1,6,"Exp4","Exp4",0.2371546173168,1.07596077138315,0.152232271171049,1.07543865905405,0.0229210181724932,0.463063574023898
"22495",1.15,1,6,"Exp4","Exp4",0.2371546173168,1.08383325418455,0.152223162683804,1.0841968138711,0.0229210181724932,0.465991496439809
"22496",1.16,1,6,"Exp4","Exp4",0.2371546173168,1.09170573698594,0.152214209657754,1.09224463548828,0.0229210181724932,0.453721114188823
"22497",1.17,1,6,"Exp4","Exp4",0.2371546173168,1.09957821978734,0.152205408145602,1.10000195424674,0.0229210181724932,0.462884914377954
"22498",1.18,1,6,"Exp4","Exp4",0.2371546173168,1.10745070258873,0.152196754332593,1.10813740892959,0.0229210181724932,0.464464806496921
"22499",1.19,1,6,"Exp4","Exp4",0.2371546173168,1.11532318539013,0.152188244530996,1.11438764183701,0.0229210181724932,0.460541790123357
"22500",1.2,1,6,"Exp4","Exp4",0.2371546173168,1.12319566819152,0.152179875174859,1.12429323869485,0.0229210181724932,0.464682845555444
"22501",1.21,1,6,"Exp4","Exp4",0.2371546173168,1.13106815099292,0.152171642815019,1.13116476978691,0.0229210181724932,0.467023273949111
"22502",1.22,1,6,"Exp4","Exp4",0.2371546173168,1.13894063379432,0.152163544114366,1.14011252866066,0.0229210181724932,0.461064228551533
"22503",1.23,1,6,"Exp4","Exp4",0.2371546173168,1.14681311659571,0.152155575843321,1.1479129161001,0.0229210181724932,0.455572845120529
"22504",1.24,1,6,"Exp4","Exp4",0.2371546173168,1.15468559939711,0.152147734875543,1.15543862455261,0.0229210181724932,0.468968928365325
"22505",1.25,1,6,"Exp4","Exp4",0.2371546173168,1.1625580821985,0.152140018183835,1.16275516723727,0.0229210181724932,0.462971010422811
"22506",1.26,1,6,"Exp4","Exp4",0.2371546173168,1.1704305649999,0.152132422836243,1.17190292092319,0.0229210181724932,0.483914989937952
"22507",1.27,1,6,"Exp4","Exp4",0.2371546173168,1.17830304780129,0.152124945992341,1.17985232227422,0.0229210181724932,0.467370511175837
