,ks,ls,kr,ts,var_s,mu_log,sigma_log,var_n,mu_p,var_p,Exp,NSub,WMSize,Gap,var_wm,w_p
55,0.05285162312717606,0.06114558147024873,0.02983094629992343,0.0,0.10555753795655695,-0.018265729294242583,0.06492877282451784,0.006202560393963903,0.9839719813983068,0.06395548640747781,Both,11,3,0.5,0.12492066906732154,0.6613893042946279
56,0.05285162312717606,0.06114558147024873,0.02983094629992343,0.0,0.10555753795655695,-0.018265729294242583,0.06492877282451784,0.006202560393963903,0.9839719813983068,0.06395548640747781,Both,11,5,0.5,0.13782942314116456,0.6830511927252881
57,0.056326812866977716,0.05184208624844533,0.02833801313459081,0.0,0.015397441766711293,0.12565706966817478,0.01985823609273013,0.03567293220766946,1.1341168523968714,0.022523780735796518,Both,8,5,0.5,0.0193886192870876,0.46259864089151276
58,0.08721813479835765,0.04820032573750398,0.010305137428542117,0.0,0.04667306856405392,-0.4581965787799438,0.17792749639267644,0.0041381277991954755,0.6425134800606808,0.11523160853004442,Both,16,3,0.5,0.053422039887922684,0.316755910050218
59,0.06272780271793703,0.04944893009362144,0.02059546500057913,0.0,0.09950989613136373,0.07790875055857809,0.09812195559038978,0.010981871670384146,1.086240562750479,0.10684110920969937,Both,12,5,0.5,0.1241131856184804,0.5373928452415893
60,0.08755137762580457,0.04997115729675598,0.0063417743062695806,0.0,0.06435605725249019,-0.28850577044969034,0.07047668102933095,0.0012976065680540896,0.7512458711169189,0.05301112806545371,Both,13,1,0.5,0.06757200391245341,0.5603769184302971
61,0.08755137762580457,0.04997115729675598,0.0063417743062695806,0.0,0.06435605725249019,-0.28850577044969034,0.07047668102933095,0.0012976065680540896,0.7512458711169189,0.05301112806545371,Both,13,3,0.5,0.07400389723237985,0.5826389205438524
62,0.08755137762580457,0.04997115729675598,0.0063417743062695806,0.0,0.06435605725249019,-0.28850577044969034,0.07047668102933095,0.0012976065680540896,0.7512458711169189,0.05301112806545371,Both,13,5,0.5,0.0804357905523063,0.6027549484503524
63,0.05645216960307754,0.04336515617201646,0.030079558376307734,0.0,0.0644945424964817,-0.07754927244463886,0.1119174809967278,0.003540538123959782,0.9311950561202136,0.10454420129846886,Both,14,1,0.5,0.06729135840408439,0.39160321949988397
64,0.05645216960307754,0.04336515617201646,0.030079558376307734,0.0,0.0644945424964817,-0.07754927244463886,0.1119174809967278,0.003540538123959782,0.9311950561202136,0.10454420129846886,Both,14,3,0.5,0.07288499021928975,0.410783533396165
65,0.05645216960307754,0.04336515617201646,0.030079558376307734,0.0,0.0644945424964817,-0.07754927244463886,0.1119174809967278,0.003540538123959782,0.9311950561202136,0.10454420129846886,Both,14,5,0.5,0.07847862203449511,0.4287914512810405
66,0.05424118965039043,0.05134424359536992,0.04234840576997146,0.0,0.04665530383956608,0.033996776520878916,0.2394682764610594,0.012808865363093464,1.0646746975966341,0.25865497387884284,Both,15,1,0.5,0.04905078512492076,0.15940808285073665
