"","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"11",11,"Exp1","Exp1",0.0391986813173444,0,0,0.00627674837888643,0,0.00242533529198673,-0.0160328748189812,0.107491162836679,445.148861660511,300.964969854825,-222.574430830256,9.0002187857832,2.07937188516131,203.925948619244,180.353513334191,8.28107653406897,0.400264968148098,-101.962974309622,8.28107653406897,22.8703821576116,0.0635288393266989
"12",12,"Exp1","Exp1",0.00961130806120291,0,0,0.00154861799832765,0,0.0067090045834486,-0.842646229851401,0.247845031170591,220.314032812669,306.973589969397,-110.157016406335,8.55652500980837,2.29308916745241,-31.7813105441839,180.92591829097,7.04163435212466,0.419620677317208,15.890655272092,7.04163435212466,141.095200069309,0.391931111303635
"13",13,"Exp1","Exp1",0.0160590663238223,0,0,0.00258110968369444,0,0.0033019265362576,0.155972925890867,0.0836236384180537,270.187606536435,301.477237719781,-135.093803268218,9.35332333392064,2.00480416160204,26.9913749289234,179.879121916025,8.6927346325881,0.371911360773869,-13.4956874644617,8.6927346325881,110.933071739711,0.309005770862706
"14",14,"Exp1","Exp1",0.0158807852316381,0,0,0.00254513404449722,0,0.00494842860992416,0.0206622428936869,0.776597835891475,366.21343978287,303.917674866314,-183.106719891435,11.6376508284705,2.25406772573901,119.47890276796,180.550406358859,10.7946354675962,0.41536918457696,-59.7394513839802,10.7946354675962,65.1624175499077,0.18100671541641
"15",15,"Exp1","Exp1",0.034804120639137,0,0,0.00560093424705811,0,0.0114765520233833,-0.0700100136421917,0.138893849999485,539.072962691385,308.926162769911,-269.536481345692,8.09535724601592,2.34804060322284,283.236312075372,181.007837461905,6.29886579662792,0.403748888571821,-141.618156037686,6.29886579662792,-16.2529408189083,-0.0452728156515551
"16",16,"Exp1","Exp1",0.0327935793937935,0,0,0.00520201114154242,0,0.00469608021471435,-0.128750940508226,0.127830950250837,440.365070672394,306.028808723449,-220.182535336197,9.39573480042312,2.31195220575932,190.053527212296,180.8730369934,8.20940394661147,0.397311806488084,-95.0267636061479,8.20940394661147,30.2045801451036,0.0839016115141767
"17",1,"Exp2","Exp2",0.0565940169322025,0.0530921382560283,0.016148850528982,0.00699257727191153,0,0.0316527742133634,0.00292946410602941,0.0769652084830481,644.989883759625,308.323167782835,-322.494941879812,4.57297516842637,2.26257860062649,392.11731021743,181.886881011738,1.34086769105328,0.379600305385319,-196.058655108715,1.34086769105328,-70.0561471114256,-0.194600408642849
"18",2,"Exp2","Exp2",0.0328803097241323,0.0241544922311797,0.00800605148452064,0.00409746513208561,0,0.00976973430382609,-0.249439311458335,0.088493831941568,406.676795556218,302.505771730804,-203.338397778109,5.8901635347092,2.16406750381303,162.427026421645,180.380887163517,4.40208314792653,0.407328814325577,-81.2135132108226,4.40208314792653,43.6194734596888,0.121502711586877
"19",3,"Exp2","Exp2",0.0615416963061047,0.137956791694218,0.0362866155134315,0.00797670436846292,0,0.00804996198246832,-0.044700715927633,0.0468297474716629,380.713331652409,302.502357999147,-190.356665826205,4.57458848414593,2.23930809948471,137.37173550718,180.831559926532,1.55986841586843,0.401841725591887,-68.6858677535899,1.55986841586843,56.4626743574539,0.157277644449732
"20",4,"Exp2","Exp2",0.0384177358397791,0.0938025696854398,0.041863792551559,0.00491111012056324,0,0.0170212851813053,0.115209633489253,0.0477114810827336,496.454771286221,304.011870799447,-248.22738564311,4.61370852658419,2.18413841767335,250.511182219907,181.04007626629,1.59495879668593,0.405228427178473,-125.255591109954,1.59495879668593,0.00895976056952448,2.48882238042347e-05
