Exp,NSub,WMSize,cv_0.5,cv_0.8,cv_1.1,cv_1.4,cv_1.7
Exp3,4,low,0.29304714016079264,0.18504154497459044,0.19129930409169227,0.18890412333607118,0.1674002602463508
Exp3,4,medium,0.21048405728096148,0.14435069267133085,0.16815334327122283,0.13189031572703128,0.1505864102229786
Exp3,4,high,0.2823671976401199,0.20964726496285468,0.18501461974884273,0.20825421667552704,0.2005286416115921
Exp3,5,low,0.12415384390786426,0.1705393277126539,0.15626692179955184,0.1691542933074153,0.1418577173587219
Exp3,5,medium,0.3018298243104385,0.14927655587061006,0.16700207075279563,0.1679208039087368,0.17837173399441694
Exp3,5,high,0.2266202305025157,0.19095223704265094,0.14241076936465719,0.10703111264888106,0.11368491761809149
Exp3,6,low,0.3441726618698172,0.29414279862281373,0.2525873067263085,0.1669449926044194,0.2250562262825366
Exp3,6,medium,0.210946470798053,0.2756463571249677,0.17032436013733335,0.2140204998603074,0.1861110410059421
Exp3,6,high,0.4221827420166412,0.16723717304659783,0.264914891583051,0.21565542433003154,0.2174755786073109
Exp3,7,low,0.2218354832313102,0.22945506773834468,0.17255968480331024,0.20356297056543407,0.14473915353425423
Exp3,7,medium,0.23728968499167058,0.2006878154724001,0.17225064812235566,0.13693048824826579,0.14200856655708535
Exp3,7,high,0.19842933044460728,0.20484809096511852,0.24957406640408744,0.17151244952337244,0.14705521774485464
Exp3,8,low,0.3926490184362935,0.2973147452854716,0.24714277193739456,0.09681860340998055,0.17905784717093276
Exp3,8,medium,0.1845849673121558,0.1945140101224684,0.27299984388243326,0.16715893768416692,0.19450622291850028
Exp3,8,high,0.3945233130067188,0.2039781656112649,0.20143421701743372,0.2267250381324787,0.20618034352704817
Exp3,9,low,0.3091597272026867,0.23237060804127008,0.20264916950844425,0.15318808014608373,0.17477013816496786
Exp3,9,medium,0.3495126169775481,0.3091358731944072,0.14149528996901328,0.18528260887841416,0.18524836364301023
Exp3,9,high,0.2998430685601536,0.20815010687481275,0.20101799157537437,0.13679220073526652,0.3372644178412214
Exp3,10,low,0.21121482323894183,0.2292398572767226,0.15742205282184282,0.19938001072196215,0.17721903819772597
Exp3,10,medium,0.31298982608837117,0.21077364582509694,0.1323809791632885,0.22563678122369915,0.23997573100449843
Exp3,10,high,0.2624751912821918,0.237290784504481,0.13559136351191273,0.1912864402733156,0.2977652003840617
Exp3,11,low,0.216440518591442,0.2258074229682203,0.15095573600115625,0.1758577108316514,0.15978026265688158
Exp3,11,medium,0.20943435272811667,0.18845834245935436,0.1533731223137035,0.20091594264158763,0.19086390083900848
Exp3,11,high,0.20754168897566716,0.18854638283130068,0.20593563106815152,0.15385640713104856,0.1832016109041784
Exp3,12,low,0.16692587365272682,0.20468262484691066,0.20606293957597452,0.1776392251922741,0.3020787072478665
Exp3,12,medium,0.20970961900334908,0.19759177441878,0.18829071262910058,0.16941121998637285,0.2647638235469987
Exp3,12,high,0.21310469819076608,0.27703426016075855,0.22027508787033093,0.2188916028809267,0.23884501847725714
