"","Nsub","Exp","model","sig_s","ks","ls","kr","sig_mn","mu_pr","sig_pr2","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"17",1,"Exp2","Exp2",0.381128220466217,0.0340627335383064,0.0689609241655203,0,0.0870797593869898,1.02793861494394,0.131405575830539,661.933354130232,316.258085496203,-330.966677065116,4.39244461972368,2.12740865799846,389.689672140219,180.136244501196,1.36763610597006,0.295284118482278,-194.844836070109,1.36763610597006,-70.1806365054313,-0.194946212515087
"18",2,"Exp2","Exp2",0.269033610096243,0.0185155480238738,0.05554748795454,0,0.0290373733491127,0.798141022204198,0.094674385997194,442.139080499535,316.792585920558,-221.069540249768,4.20724592195809,2.02839219244544,168.958985366068,180.202538353825,1.00585759188394,0.278508573056262,-84.4794926830341,1.00585759188394,40.3067402218686,0.112275042400748
"19",3,"Exp2","Exp2",0.305128820562572,0.0742911899799946,0.132342760087575,0,0.0384814290020426,0.980938859331717,0.0553802008876465,404.319383869315,318.712077750293,-202.159691934658,4.02621066257805,1.92713928497831,128.0089455874,180.556858609336,1.10832332851161,0.284248429528941,-64.0044727937001,1.10832332851161,61.0544003591057,0.170067967574111
"20",4,"Exp2","Exp2",0.271899194831087,0.0584814624221916,0.225035597312784,0,0.0574366462163352,1.16679388100695,0.0864931111014823,524.400928075741,319.551018535885,-262.20046403787,4.50481837520119,2.07815209758101,247.354023040143,181.027566018086,1.78300869066227,0.275002660602192,-123.677011520072,1.78300869066227,1.70184306988014,0.00472734186077817
"21",5,"Exp2","Exp2",0.398048358194154,0.0993162139315593,0.538953862700018,0,0.052467454083244,1.29560019978621,0.292652268850272,903.221572060031,300.381254323967,-451.610786030015,4.82455166522057,1.92732693981215,646.899758311893,172.220347449898,2.69202779664506,0.267448592668173,-323.449879155946,2.69202779664506,-204.287443569175,-0.593858847584812
"22",6,"Exp2","Exp2",0.308120566915118,0.140352745806672,0.0839740473786043,0,0.0355089113333628,1.29331531093626,0.116262648878164,551.591231708689,321.182724831483,-275.795615854344,4.16850908764343,2.03715279662243,271.084202989608,180.929210471942,1.19513826725842,0.306673793958052,-135.542101494804,1.19513826725842,-10.2293728235714,-0.0284149245099205
"23",7,"Exp2","Exp2",0.305667125987963,0.0375218356895947,0.265389948083276,0,0.15357359128901,1.20937681593419,0.128871517254904,721.091693992013,313.689157134356,-360.545846996007,4.05216356734377,1.68969628621866,453.146480057758,179.716550167229,2.70261669957039,0.265955666939092,-226.573240028879,2.70261669957039,-102.269391260663,-0.285668690672242
"24",8,"Exp2","Exp2",0.286059716762037,0.067613616060215,0.207960832724258,0,0.027374183098492,1.09816831563696,0.202067163484786,666.216789542783,317.983763994022,-333.108394771391,4.93074426173605,2.15035347309639,390.260649175364,180.005693810313,2.45640191704628,0.268703326478493,-195.130324587682,2.45640191704628,-70.5189621718227,-0.196431649503685
"25",9,"Exp2","Exp2",0.609089993871843,0.197567004772649,0.304586099920588,0,0.0974740019612878,1.11968009243209,0.0792429248197647,633.221178690257,317.769859429967,-316.610589345129,4.42382307113571,2.08865691777976,356.975755389303,179.64714777949,1.60516126992468,0.270394396670909,-178.487877694651,1.60516126992468,-54.1028181780222,-0.151548510302583
"26",10,"Exp2","Exp2",0.356999301732801,0.0529119819959367,0.26602951325029,0,0.0456504215230174,0.964182340481556,0.0835701284335346,563.700945874975,316.515776669175,-281.850472937488,4.16839137813106,1.95465975698819,291.127067658492,180.228837560932,1.38829837547097,0.279579999553895,-145.563533829246,1.38829837547097,-20.7875688954238,-0.0577432469317327
"27",11,"Exp2","Exp2",0.15631823188654,0.0179484741379746,0.0911478320115954,0,0.0223017269871991,2.12883630838953,1.00409103764177,309.173863353936,314.072350932642,-154.586931676968,4.31750441885575,1.886333867276,41.307811846022,180.139325178685,2.24663475191773,0.287221289995153,-20.653905923011,2.24663475191773,104.014921500449,0.289735157382867
"28",12,"Exp2","Exp2",0.278937766908468,0.155997439956614,0.61427298327545,0,0.17555630132826,1.28789566549823,0.127263959745292,793.635060661554,316.474007586786,-396.817530330777,5.21295247851302,1.96498087323527,521.818935839297,180.565945175658,3.18843233561936,0.284849969317742,-260.909467919649,3.18843233561936,-135.998025655665,-0.378824583999068
"29",13,"Exp2","Exp2",0.301228587046015,0.0668021756865268,0.259785835578284,0,0.0425847878216149,0.982653781729104,0.146591548450035,658.974998940444,319.366480938563,-329.487499470222,4.24118217690536,1.84005582424392,382.250253414106,181.004108175394,2.19795234605044,0.272392789402379,-191.125126707053,2.19795234605044,-65.7539935053845,-0.182649981959402
"30",14,"Exp2","Exp2",0.280851414530001,0.073717627806004,0.0501573682500474,0,0.0258115445521017,2.08769913008271,1.56108272343727,673.632992103147,317.296150057445,-336.816496051573,4.04906195302612,1.9545299486656,400.312676497654,180.635992254699,1.39136821047153,0.264020023067583,-200.156338248827,1.39136821047153,-75.0544571160306,-0.209065340156074
"31",15,"Exp2","Exp2",0.16974290561618,0.0590891872504962,0.23873447598073,0,0.0221028742986128,0.981659661058964,0.166272447577216,419.052428980382,318.552646094458,-209.526214490191,5.3450047120706,1.92921654590794,143.818215095645,180.93553915209,3.51654632102237,0.288150260066997,-71.9091075478226,3.51654632102237,53.3997926636475,0.148745940567263
"32",16,"Exp2","Exp2",0.222808292260405,0.0362261098553988,0.245201879067949,0,0.0861374559801198,1.1532006995928,0.0990063637932437,527.325266716684,317.265052541868,-263.662633358342,4.80292465565884,2.07843977641916,255.520200696191,181.362519531622,2.51636086579395,0.292937222228759,-127.760100348096,2.51636086579395,-2.26980242132923,-0.00630500672591452
"33",1,"Exp3","Exp3",0.361362352351833,0,0,0.0124298076717387,0.0856651724323703,0.909854600774749,0.0717040617051336,502.592125515954,316.204379200124,-251.296062757977,4.18804078327769,1.94534167705061,231.507620882478,180.662126883385,1.61399539270269,0.27031661401954,-115.753810441239,1.61399539270269,9.26799395122954,0.0257444276423043
"34",2,"Exp3","Exp3",0.375491581237393,0,0,0.0346888619114224,0.029525405202393,0.843230001016676,0.0680850392388572,454.243522807836,321.770042869798,-227.121761403918,4.3412498565388,2.14581131066749,172.262688077833,180.779625504796,0.731558927745954,0.299071730247491,-86.1313440389164,0.731558927745954,39.1203982547829,0.108667772929952
"35",3,"Exp3","Exp3",0.323780165348926,0,0,0.0180707573770692,0.027918152657675,0.819768195339814,0.092219214664851,463.38278058317,314.521577284828,-231.691390291585,3.91924358890524,1.95386573740132,192.866638485766,179.263506236126,0.633260052083131,0.275992966919276,-96.4333192428829,0.633260052083131,27.7537287362924,0.0777415370764492
"36",4,"Exp3","Exp3",0.339620004079443,0,0,0.011873398215603,0.0407064711688994,0.982670886128843,0.0654499872594931,418.276910588684,315.174331153653,-209.138455294342,3.94415361646266,1.94711914768739,147.489879582135,179.780815650379,0.787230362918814,0.275989905775432,-73.7449397910675,0.787230362918814,50.7168396493187,0.141272533842113
"37",5,"Exp3","Exp3",0.197686734875507,0,0,0.0117193951959911,0.0177233878651886,0.994245214481053,0.573800694117225,350.907383046964,316.525698992339,-175.453691523482,4.13207339000444,2.05750802505348,77.2988777002198,179.721446318967,0.66517888860699,0.294967319158855,-38.6494388501099,0.66517888860699,85.8652783050729,0.239847146103556
"38",6,"Exp3","Exp3",0.400604248263462,0,0,0.0293374208170506,0.0678331036318915,0.981192718936117,0.0982437264909716,571.518591638798,315.919704027025,-285.759295819399,3.91184613441292,1.88103309685771,299.647325610879,179.984071013065,1.08228749544399,0.274050667984728,-149.823662805439,1.08228749544399,-25.2313161222079,-0.0702822176106071
"39",7,"Exp3","Exp3",0.235195321101888,0,0,0.0323894422560499,0.0210972709542667,0.737304687715894,0.134665801626593,393.556865768801,321.903899392335,-196.778432884401,3.84532325183453,1.91749482296772,111.904073430444,181.077503223157,0.614004019446223,0.267694358092077,-55.9520367152221,0.614004019446223,69.5333906898884,0.193148307471912
"40",8,"Exp3","Exp3",0.379399105856497,0,0,0.00991740553013514,0.146128666515851,1.09775041161132,0.0637602021197332,574.957876877816,315.653333413875,-287.478938438908,4.89959116634456,1.85889592794101,304.203866434022,180.276328191977,3.10478826239269,0.274667602145318,-152.101933217011,3.10478826239269,-27.3573383743299,-0.0762042851652644
"41",9,"Exp3","Exp3",0.362242274256426,0,0,0.0167284884412639,0.0427587493175356,0.93227217298395,0.0958358053351284,519.806123024009,316.810530409784,-259.903061512005,4.10429596707441,2.03506682379909,245.358505189623,179.58672149259,0.753337892196841,0.270844600408453,-122.679252594812,0.753337892196841,1.71366101181704,0.00478676260284089
"42",10,"Exp3","Exp3",0.380421336788052,0,0,0.0583065834737457,0.0291540827985876,0.810925339677308,0.0872736472148763,505.001468575492,317.383869785276,-252.500734287746,3.88580695433204,1.93229152241571,231.013201413966,180.389736204512,0.655281506141636,0.272372423983866,-115.506600706983,0.655281506141636,9.41018394676033,0.026139399852112
"43",11,"Exp3","Exp3",0.304381614648012,0,0,0.00917450340618007,0.0246174355365803,1.03312321140321,0.0751435450631395,414.330357507506,320.754953247454,-207.165178753753,4.2048482924818,2.08857291046041,133.61317633095,180.396362659176,0.63743768961138,0.270825022858591,-66.8065881654752,0.63743768961138,58.2046208726673,0.162129863155062
"44",12,"Exp3","Exp3",0.426188397343283,0,0,0.0292706237298383,0.0245932813718326,1.00654700470244,0.090908384757942,531.472682130994,312.983801559906,-265.736341065497,3.70443230664872,1.83289939620189,263.715618021488,179.105269505153,0.681534541696687,0.2946285782436,-131.857809010744,0.681534541696687,-7.85043724331672,-0.0219285956517227
"45",13,"Exp3","Exp3",0.351143269673453,0,0,0.0397573305659287,0.0205270990317635,0.605644140775032,0.0890793489224915,487.043924579679,319.882288376673,-243.52196228984,4.02933556882275,2.00082503079114,208.33906777389,180.529859973778,0.662266081849248,0.295408311468862,-104.169533886945,0.662266081849248,20.9116433783602,0.0580878982732227
"46",14,"Exp3","Exp3",0.306790981067475,0,0,0.0149200881289465,0.0234955854436865,1.1122503620586,0.16749290124136,527.682121506868,312.000506462832,-263.841060753434,3.58035476903488,1.78318268001542,261.591914463344,178.95540294107,0.62851145020225,0.27680406791141,-130.795957231672,0.62851145020225,-6.90196468267228,-0.0193332344052445
"47",15,"Exp3","Exp3",0.260673441844526,0,0,0.0245508806593888,0.019635999871569,0.694724542462736,0.0627077923115338,317.523398426738,316.747602796601,-158.761699213369,3.94362236649853,1.95560944156982,45.013386881073,180.492597023769,0.648950166277903,0.276581078559615,-22.5066934405365,0.648950166277903,102.504733899526,0.284735371943128
"48",16,"Exp3","Exp3",0.296585332797213,0,0,0.0434856543942041,0.0295065949552476,0.641490836158443,0.072095869043834,389.885529053787,315.088684671744,-194.942764526894,3.79603063801707,1.88260539063265,120.39918679078,180.345513540239,0.683470252469914,0.26165434392373,-60.1995933953898,0.683470252469914,64.6750955865795,0.179653043296054
"49",1,"Exp4","Exp4",0.27762028254188,0.0708499149909405,0.0508512611669145,0.063111857171433,0.031373571888498,0.762738466198722,0.123444959919648,493.736548898195,316.578183983692,-246.868274449098,3.96675755266075,1.92646866061814,221.402462434507,180.411140751848,1.0491808113187,0.303190924549439,-110.701231217253,1.0491808113187,14.2238783340833,0.0396208310141597
"50",2,"Exp4","Exp4",0.194016259303593,0.0566472472468144,0.0250907762437519,0.0315740564230521,0.0459897962032304,0.964550236687669,0.0399633020123968,190.287843999112,317.250645164869,-95.1439219995561,4.04336106942598,1.93189237959784,-82.9618720095343,180.625787160547,1.26313999754629,0.269018038109058,41.4809360047671,1.26313999754629,166.511221659032,0.462531171275089
"51",3,"Exp4","Exp4",0.257014525572799,0.0690962516554162,0.202618311902597,0.0773532909974845,0.0212142669842467,0.747819070953475,0.0626165454976477,395.841962290535,313.976805259079,-197.920981145268,4.24799767811559,1.94950904590512,124.751778122053,178.431713174838,1.54189590898078,0.274261033458089,-62.3758890610263,1.54189590898078,61.1576519687426,0.171791157215569
"52",4,"Exp4","Exp4",0.361147664596091,0.0769228652514558,0.150590527809292,0.0385158338259247,0.0292634254300795,0.87660493487532,0.066730504029294,457.132475909417,307.824939170508,-228.566237954708,3.62354598616666,1.77285425490091,197.851619371149,178.184510901373,0.959612952838027,0.273710576502925,-98.9258096855743,0.959612952838027,24.3791624095659,0.0684807932852975
"53",5,"Exp4","Exp4",0.243602571080237,0.122568409775234,0.0779192685207357,0.0845522146292157,0.0860507049635163,1.16864820958913,0.105418692123484,494.363202390242,317.393865494315,-247.181601195121,4.22815575606108,1.91773224982855,221.690699098193,181.05761384829,1.88847088808009,0.282532805296664,-110.845349549096,1.88847088808009,14.4684472167479,0.040190131157633
"54",6,"Exp4","Exp4",0.0741665096445511,0.0539027467000013,0.179680377406985,0.0944877298808368,0.015168950711326,0.70702510506926,0.0984641142925239,259.904561019579,319.850438619045,-129.95228050979,5.26915861067458,2.22634630181137,-18.6194704161912,180.58842290116,2.75326136806278,0.29294052824358,9.30973520809562,2.75326136806278,134.358809861991,0.374258523292454
"55",7,"Exp4","Exp4",0.00027536590388456,0.0712657536884791,0.0203750556478307,0.055609924918856,0.0217245669691515,1.22450523982875,0.919897236523106,589.399189096945,319.144204326659,-294.699594548473,3.77807752036132,1.86633545349008,311.845799585259,180.367509570816,0.817164192954542,0.290218207338917,-155.92289979263,0.817164192954542,-30.990380703636,-0.0863241802329693
"56",8,"Exp4","Exp4",0.0727021986822953,0.0801378472201935,0.0936628355745666,0.0677468966757583,0.175880045808197,1.07049090230862,0.047388538197337,460.906617839135,313.86109001457,-230.453308919568,6.52524962935512,1.75617423196808,193.62068712008,180.218124655042,5.43305644378098,0.261183848748383,-96.8103435600401,5.43305644378098,27.8552078510068,0.0773755773639079
"57",9,"Exp4","Exp4",0.315104076495941,0.0552828596145513,0.0604108112010831,0.0752299227305338,0.143689180198441,1.09409474635728,0.2253081198554,727.409176386591,316.553973435787,-363.704588193296,4.66255915623129,1.943459212374,452.999918303613,179.349344394299,2.34394490719032,0.266120773588818,-226.499959151807,2.34394490719032,-102.381060756281,-0.286781682790704
"58",10,"Exp4","Exp4",0.109828089018423,0.0486882583546564,0.0368492980949092,0.0434656711988499,0.0202442453232256,0.520750648934401,1.78281965161453,490.5864471139,317.618001206295,-245.29322355695,4.09865754584375,2.01419849734197,216.62501157355,180.637283436121,1.14889204867036,0.298036466667893,-108.312505786775,1.14889204867036,16.7742045895905,0.0465950127488626
"59",11,"Exp4","Exp4",0.282539024157738,0.0906391688447226,0.145324156679641,0.0587659301181369,0.0268004128659616,0.962135754453354,0.0888229653506418,481.177550357862,315.277099028988,-240.588775178931,4.14485149701393,1.94544783444559,211.52929039839,180.452969049252,1.40981836865631,0.29255540981577,-105.764645199195,1.40981836865631,19.1674521968927,0.0532429227691463
"60",12,"Exp4","Exp4",0.327836670125882,0.0896374931279284,0.0647171124807217,0.0581870806456637,0.0339954912091747,1.08893563774387,0.169710209008268,611.724819079701,314.034144489407,-305.86240953985,4.16896704164109,2.003462960588,342.666157957381,179.504813928247,1.12979463062648,0.277172274031696,-171.333078978691,1.12979463062648,-47.0939729975192,-0.131547410607596
"61",13,"Exp4","Exp4",0.228850031520891,0.0916341024698169,0.0327739767694795,0.0243077462875918,0.0169363488638891,0.779671173980664,0.0613368677688046,288.270509042399,317.63060903274,-144.1352545212,4.25764020015592,2.09671124559125,13.9225693967168,180.456639209898,0.777091732821731,0.275420983973078,-6.96128469835841,0.777091732821731,117.993482516088,0.327759673655801
"62",14,"Exp4","Exp4",0.141717213284048,0.0634644979883598,0.0335254974222044,0.0688354710694402,0.0208356497044376,0.840400909121842,0.144498905964331,516.947294383181,321.401270013547,-258.47364719159,4.18907841068223,2.06897865579308,234.955625884638,180.405435764276,0.825128783809189,0.275702809983791,-117.477812942319,0.825128783809189,7.52490329910249,0.0209607334236838
"63",15,"Exp4","Exp4",0.235833400322908,0.0554406820120704,0.092327166062314,0.0635830033384376,0.0286361723718426,1.10316687127465,0.679341580228781,579.832583775112,318.922653748838,-289.916291887556,4.46105833846786,2.11435978446253,303.292501735464,180.652612729014,2.04851327145694,0.296101284335885,-151.646250867732,2.04851327145694,-26.6058773004037,-0.0739052147233437
"64",16,"Exp4","Exp4",0.223496345922037,0.0915476808372789,0.0266478614767385,0.0529935336335317,0.0188498125094524,0.671476981586755,0.202300859417971,413.695908653498,315.765600567905,-206.847954326749,3.80347481384949,1.88858122880386,142.463161491509,180.14922698691,0.856911653080024,0.280885283342897,-71.2315807457543,0.856911653080024,53.4520506545976,0.148477918484993
