"","NSub","Exp","WMSize","wp","InP_Eq","InP_Eq_old","InP_curve"
"48",16,"Exp3","low","0.432157219286721",0.669734217493526,0.838390213562586,0.81
"49",1,"Exp4","low","0.368109454164664",3.98671319166192,0.652869313955908,0.86
"50",2,"Exp4","low","0.526310100535739",1.62946377368073,0.949819360430883,1.02
"51",3,"Exp4","low","0.579075581222647",1.55930260782881,0.727833545999377,0.84
"52",4,"Exp4","low","0.711932897299452",1.4651760348141,0.746333308962089,0.93
"53",5,"Exp4","low","0.478777091491032",2.44539117732775,0.836257424871916,1.09
"54",6,"Exp4","low","0.178109985664469",4.77854654128895,0.627345252884884,0.92
"55",7,"Exp4","low","0.148536377266152",44.9149426058492,0.59623185364819,1.09
"56",8,"Exp4","low","0.41526130325348",2.23199797646831,0.986305127123346,1.09
"57",9,"Exp4","low","0.39112722578183",4.50597479468153,1.14588060056284,1.09
"58",10,"Exp4","low","0.0470133105816381",5961963011766018,0.0539538811527981,0.87
"59",11,"Exp4","low","0.563241702649722",1.69708050378223,0.757435268828994,1.02
"60",12,"Exp4","low","0.489241948444127",5.2238279125337,0.732898283322398,1.09
"61",13,"Exp4","low","0.477983265371316",3.97554996290232,0.538352473315442,0.81
"62",14,"Exp4","low","0.362943111326024",3.56417471249838,0.882230713979665,0.98
"63",15,"Exp4","low","0.118451830985552",201.953606495199,0.472757280782797,1.09
"64",16,"Exp4","low","0.177706954198277",176.349431474451,0.224073925263274,0.81
"65",1,"Exp1","medium","0.747985536833342",0.896639003862254,0.915302424391762,0.92
"66",2,"Exp1","medium","0.508091769236528",1.10492377384319,1.13878099653181,1.09
"67",3,"Exp1","medium","0.53133328125492",0.996139524783981,1.01517025470235,1.02
"68",4,"Exp1","medium","0.628104667941307",0.951925615729639,0.973545958378031,0.97
"69",5,"Exp1","medium","0.182516088192995",0.927185105928587,0.96516674896508,0.97
"70",6,"Exp1","medium","0.619733785317916",0.843166580071788,0.863859753988359,0.86
"71",7,"Exp1","medium","0.537808167625282",0.663028448607574,0.695483637920241,0.81
"72",8,"Exp1","medium","0.439810828201776",0.976566385471068,1.06158419229623,1.06
"73",9,"Exp1","medium","0.297364934694117",1.30479781476786,1.34728356518621,1.09
"74",10,"Exp1","medium","0.517874860378604",0.948019510929342,0.992302307025634,0.99
"75",11,"Exp1","medium","0.419769877733707",0.984190147215997,1.03821457450187,1.04
"76",12,"Exp1","medium","0.0704231099264732",0.42254099091241,0.478662780667946,0.81
"77",13,"Exp1","medium","0.276325223965607",1.17084958935921,1.2206180684483,1.09
"78",14,"Exp1","medium","0.0162333387503049",1.04009709842603,2.67778863804788,1.09
"79",15,"Exp1","medium","0.331383490440941",0.933729042456571,1.00021663609465,1
"80",16,"Exp1","medium","0.336156677578987",0.880328179839316,0.937732009966268,0.94
"81",1,"Exp2","medium","0.619536384482472",1.13015862493805,0.975523478548542,1.01
"82",2,"Exp2","medium","0.447891046656842",0.847668193167265,0.771929511728316,0.81
"83",3,"Exp2","medium","0.768711809121133",1.18105418775656,0.885074304166144,0.94
"84",4,"Exp2","medium","0.7086155392147",1.50098226122929,1.01821515422262,1.09
"85",5,"Exp2","medium","0.750125224500976",1.57968074461966,1.09537092487332,1.09
"86",6,"Exp2","medium","0.678640273769505",2.31425257652239,0.84382779904561,1.04
"87",7,"Exp2","medium","0.674142600316219",1.32222689574381,1.13813594309008,1.09
"88",8,"Exp2","medium","0.51035006195859",1.8827321813921,0.804359081940599,0.96
"89",9,"Exp2","medium","0.988716062718415",1.20991335520924,1.15545843383176,1.05
"90",10,"Exp2","medium","0.793815228331778",1.24575738235132,0.875934503690271,0.95
"91",11,"Exp2","medium","0.0781797955136991",4.32432843520861,0.777204689362516,1.09
"92",12,"Exp2","medium","0.878740636857453",1.40658205342043,1.08666361292874,1.09
"93",13,"Exp2","medium","0.618103054542335",1.790077647028,0.756628486480988,0.91
"94",14,"Exp2","medium","0.171352857554436",5.01210415259947,0.408815258191759,0.81
"95",15,"Exp2","medium","0.308902542868156",1.67614468142182,0.606432040773005,0.81
"96",16,"Exp2","medium","0.587439123120807",1.62757757997209,0.993768947276155,1.09
"97",1,"Exp3","medium","0.62818309200091",0.951371131161309,0.99283097868786,0.97
"98",2,"Exp3","medium","0.634436112206531",0.930931508628429,1.01379579314618,0.96
"99",3,"Exp3","medium","0.481302281503743",0.874733274343534,0.932578422254938,0.91
"100",4,"Exp3","medium","0.630915630356984",1.030717476294,1.07229604003242,1.05
"101",5,"Exp3","medium","0.0532545510424082",1.37933175261577,2.33165284991441,1.09
"102",6,"Exp3","medium","0.626222036623807",1.07898961114781,1.15693251936863,1.09
"103",7,"Exp3","medium","0.242037996288428",0.927900481868563,1.13989975734735,0.99
"104",8,"Exp3","medium","0.720709172935754",1.13425494182635,1.16854609072926,1.09
"105",9,"Exp3","medium","0.556663969399517",0.99316409785771,1.06534116938725,1.02
"106",10,"Exp3","medium","0.565815530356141",0.968821224427239,1.11792077707625,1.01
"107",11,"Exp3","medium","0.568998355392882",1.07662731596874,1.12890869422498,1.09
"108",12,"Exp3","medium","0.660197156669925",1.08869855804201,1.17465501440417,1.09
"109",13,"Exp3","medium","0.438660464281988",0.642121544772577,0.743896230095497,0.81
"110",14,"Exp3","medium","0.401311030533074",1.18644752770127,1.3010107731721,1.09
"111",15,"Exp3","medium","0.428647506185568",0.754846859289414,0.830127418688053,0.81
"112",16,"Exp3","medium","0.432157219286721",0.734882294068286,0.838390213562586,0.81
"113",1,"Exp4","medium","0.395213376373304",13.0203686238134,0.74053087437779,0.82
"114",2,"Exp4","medium","0.540486803633715",2.44168405069848,0.972919898144954,1
"115",3,"Exp4","medium","0.644707257389495",2.24415778858031,0.854891581886214,0.87
"116",4,"Exp4","medium","0.761056265063346",1.86161806861252,0.856690311103166,0.92
"117",5,"Exp4","medium","0.551057889493712",3.25171202196154,1.02695583529907,1.09
"118",6,"Exp4","medium","0.244428392631532",8.54649400217532,0.863063596060189,0.94
"119",7,"Exp4","medium","0.154597372828529",996.842991235226,0.651171213243602,0.93
"120",8,"Exp4","medium","0.453429797496379",3.46520936083154,1.06948947683299,1.09
"121",9,"Exp4","medium","0.417471390942603",12.9669219717918,1.25422575818647,1.09
"122",10,"Exp4","medium","0.0503576219536436",2.30944864010909e+29,0.0839638982729805,0.81
"123",11,"Exp4","medium","0.658394403200981",2.01113685674341,0.942741731512754,1.02
"124",12,"Exp4","medium","0.529936483286108",14.059848503863,0.920370226721474,1.09
"125",13,"Exp4","medium","0.497399703521571",13.8879570722882,0.602390989889161,0.81
"126",14,"Exp4","medium","0.376431935637706",11.5317726699804,0.926415349554351,0.96
"127",15,"Exp4","medium","0.143947475683817",3683.82693411056,0.763790942166063,1.09
"128",16,"Exp4","medium","0.194710523447537",11997.4110597892,0.303953550930713,0.81
"129",1,"Exp1","high","0.747985536833342",0.896639003862254,0.915302424391762,0.92
"130",2,"Exp1","high","0.508091769236528",1.10492377384319,1.13878099653181,1.09
"131",3,"Exp1","high","0.53133328125492",0.996139524783981,1.01517025470235,1.02
"132",4,"Exp1","high","0.628104667941307",0.951925615729639,0.973545958378031,0.97
"133",5,"Exp1","high","0.182516088192995",0.927185105928587,0.96516674896508,0.97
"134",6,"Exp1","high","0.619733785317916",0.843166580071788,0.863859753988359,0.86
"135",7,"Exp1","high","0.537808167625282",0.663028448607574,0.695483637920241,0.81
"136",8,"Exp1","high","0.439810828201776",0.976566385471068,1.06158419229623,1.06
"137",9,"Exp1","high","0.297364934694117",1.30479781476786,1.34728356518621,1.09
"138",10,"Exp1","high","0.517874860378604",0.948019510929342,0.992302307025634,0.99
"139",11,"Exp1","high","0.419769877733707",0.984190147215997,1.03821457450187,1.04
"140",12,"Exp1","high","0.0704231099264732",0.42254099091241,0.478662780667946,0.81
"141",13,"Exp1","high","0.276325223965607",1.17084958935921,1.2206180684483,1.09
"142",14,"Exp1","high","0.0162333387503049",1.04009709842603,2.67778863804788,1.09
"143",15,"Exp1","high","0.331383490440941",0.933729042456571,1.00021663609465,1
"144",16,"Exp1","high","0.336156677578987",0.880328179839316,0.937732009966268,0.94
"145",1,"Exp2","high","0.651464648325041",1.15632293303624,0.990628090070271,0.99
"146",2,"Exp2","high","0.472594396925423",0.864815361677233,0.779333149514029,0.81
"147",3,"Exp2","high","0.806812974606228",1.20998124070629,0.919791148903842,0.92
"148",4,"Exp2","high","0.766679744549666",1.52860425133927,1.08623766552843,1.09
"149",5,"Exp2","high","0.810774467709137",1.59464300551833,1.18978147857274,1.09
"150",6,"Exp2","high","0.732964463349685",2.46830304702672,0.975624159832426,0.99
"151",7,"Exp2","high","0.729004999394728",1.33691876789599,1.16725808702398,1.09
"152",8,"Exp2","high","0.587066365497698",1.95442619527129,0.9358503050195,0.93
"153",9,"Exp2","high","0.9921788456462",1.21122490596743,1.17166215726093,1.03
"154",10,"Exp2","high","0.843620234272096",1.25958630175772,0.936788167621119,0.94
"155",11,"Exp2","high","0.0949063596340504",5.06912848680081,0.976504807174376,1.05
"156",12,"Exp2","high","0.91169214039387",1.41533701462354,1.14503874561371,1.09
"157",13,"Exp2","high","0.696295828953024",1.82948682783997,0.890610175682037,0.89
"158",14,"Exp2","high","0.192408766356649",6.98905054814573,0.517514719716807,0.81
"159",15,"Exp2","high","0.392529715239705",1.70402923735198,0.744349839032477,0.81
"160",16,"Exp2","high","0.667385092405185",1.64950836659415,1.08789872571187,1.09
"161",1,"Exp3","high","0.62818309200091",0.970783077395666,0.99283097868786,0.99
"162",2,"Exp3","high","0.634436112206531",0.984669751326044,1.01379579314618,1.01
"163",3,"Exp3","high","0.481302281503743",0.897432504230124,0.932578422254938,0.93
"164",4,"Exp3","high","0.630915630356984",1.04986184998466,1.07229604003242,1.07
"165",5,"Exp3","high","0.0532545510424082",1.88018624126141,2.33165284991441,1.09
"166",6,"Exp3","high","0.626222036623807",1.12696976274957,1.15693251936863,1.09
"167",7,"Exp3","high","0.242037996288428",1.07227650983009,1.13989975734735,1.09
"168",8,"Exp3","high","0.720709172935754",1.15015771638076,1.16854609072926,1.09
"169",9,"Exp3","high","0.556663969399517",1.03337579174509,1.06534116938725,1.07
"170",10,"Exp3","high","0.565815530356141",1.0788315542788,1.11792077707625,1.09
"171",11,"Exp3","high","0.568998355392882",1.09910500376372,1.12890869422498,1.09
"172",12,"Exp3","high","0.660197156669925",1.13506291550592,1.17465501440417,1.09
"173",13,"Exp3","high","0.438660464281988",0.697228281407119,0.743896230095497,0.81
"174",14,"Exp3","high","0.401311030533074",1.23530645612479,1.3010107731721,1.09
"175",15,"Exp3","high","0.428647506185568",0.802575564694132,0.830127418688053,0.83
"176",16,"Exp3","high","0.432157219286721",0.806367618719268,0.838390213562586,0.84
"177",1,"Exp4","high","0.420087772736992",35.3550959641851,0.819161364254339,0.82
"178",2,"Exp4","high","0.553839597451274",3.54618526938415,0.994044306256889,0.99
"179",3,"Exp4","high","0.692632786367028",2.96397767560136,0.942336714756322,0.92
"180",4,"Exp4","high","0.795866622989549",2.23782661720719,0.93444096406632,0.94
"181",5,"Exp4","high","0.6057330223503",3.96991237397949,1.16048890348484,1.09
"182",6,"Exp4","high","0.300843423325268",12.1266463093647,1.01136472196036,1.01
"183",7,"Exp4","high","0.16057268999422",17176.5775109027,0.705553373747452,0.81
"184",8,"Exp4","high","0.486920760402847",4.94164283010054,1.13613560196089,1.09
"185",9,"Exp4","high","0.44163042848793",32.0059295992077,1.34934403377336,1.09
"186",10,"Exp4","high","0.0536785430590077",1.68969903386145e+41,0.123303152619378,0.81
"187",11,"Exp4","high","0.719503677472592",2.26024586988078,1.05107573975552,1.05
"188",12,"Exp4","high","0.56462489826628",31.275252028734,1.08819603957419,1.09
"189",13,"Exp4","high","0.51542354849728",42.4455010278904,0.663481455306102,0.81
"190",14,"Exp4","high","0.389361388401226",33.7244167229262,0.967621056304817,0.96
"191",15,"Exp4","high","0.168009831518296",27629.9862046775,1.04865590307039,1.09
"192",16,"Exp4","high","0.211025131578571",393542.343896335,0.388627222872016,0.81
