"","NSub","curDur","repDur","Exp","WMSize","model","wp","mu_r","sig_r","predY","mu_post","log_lik"
"37643",11,1.1,1.445877793,"Exp4",5,"Exp4",0.714879664509287,1.06120491993956,0.243918053467469,1.06058445320385,-0.154599135124256,-0.0093677927291619
"37653",11,0.5,0.997888313,"Exp4",1,"Exp4",0.560750670851726,0.747912256610819,0.171003150882924,0.74771131623398,-0.373204188832679,0.348055539986834
"37663",11,0.8,1.317955754,"Exp4",1,"Exp4",0.560750670851726,0.919110645260865,0.1937724171806,0.917629765490289,-0.166755409989235,0.221105802319251
"37673",11,1.1,0.181948528,"Exp4",3,"Exp4",0.656122073603769,1.04697826326057,0.231144962413869,1.04718780499401,-0.102834317858814,0.0418638298325499
"37683",11,1.7,1.029915553,"Exp4",3,"Exp4",0.656122073603769,1.21617114801335,0.263757109669488,1.21499453231973,0.0468619578081401,-0.0742319515073779
"37693",11,1.4,1.238072708,"Exp4",5,"Exp4",0.714879664509287,1.1368107857536,0.258763389671573,1.14359661246746,-0.0858389285769945,-0.058102657210234
"37703",11,1.4,1.269894366,"Exp4",3,"Exp4",0.656122073603769,1.13754660378127,0.248308858451359,1.13920007663938,-0.019904009835173,-0.0180246512079542
"37715",11,1.4,1.061929419,"Exp4",1,"Exp4",0.560750670851726,1.17524691162931,0.237150849519526,1.17281820943862,0.0790554494421814,0.020853795830721
"37723",11,1.7,1.462012709,"Exp4",3,"Exp4",0.656122073603769,1.21617114801335,0.263757109669488,1.22029251544266,0.0468619578081401,-0.0840492124682795
"37733",11,1.1,1.237826072,"Exp4",3,"Exp4",0.656122073603769,1.04697826326057,0.231144962413869,1.04672662827078,-0.102834317858814,0.0462470681907524
"37743",11,1.1,0.90194033,"Exp4",5,"Exp4",0.714879664509287,1.06120491993956,0.243918053467469,1.05959604844064,-0.154599135124256,0.00355276782470163
"37753",11,1.7,1.158021092,"Exp4",5,"Exp4",0.714879664509287,1.20164830635529,0.271963141965496,1.20017660791239,-0.0304811006020489,-0.123317286765169
"37763",11,1.7,0.901953703,"Exp4",5,"Exp4",0.714879664509287,1.20164830635529,0.271963141965496,1.19739806155625,-0.0304811006020489,-0.0971542164139924
"37773",11,0.8,0.693887054,"Exp4",1,"Exp4",0.560750670851726,0.919110645260865,0.1937724171806,0.921594633197263,-0.166755409989235,0.211458845401662
"37783",11,0.5,0.789890087,"Exp4",1,"Exp4",0.560750670851726,0.747912256610819,0.171003150882924,0.750994628591953,-0.373204188832679,0.362349150428708
"37793",11,1.7,1.205891826,"Exp4",1,"Exp4",0.560750670851726,1.28001253350515,0.25629054255009,1.28156293364308,0.164338348535474,-0.0578795781563917
"37803",11,1.4,1.094059917,"Exp4",5,"Exp4",0.714879664509287,1.1368107857536,0.258763389671573,1.13692407567514,-0.0858389285769945,-0.0618193674169825
"37815",11,0.5,0.805977729,"Exp4",5,"Exp4",0.714879664509287,0.847869562463338,0.208540228098813,0.843412965840811,-0.379404362231439,0.155720564605749
"37823",11,0.8,1.109974945,"Exp4",3,"Exp4",0.656122073603769,0.938413045565679,0.211998788886424,0.936271488473581,-0.212343526568999,0.130166491426484
"37833",11,0.5,1.125920141,"Exp4",3,"Exp4",0.656122073603769,0.798544761139285,0.191576959690037,0.796432047355268,-0.373967399992725,0.24227919603884
"37843",11,0.5,0.725949439,"Exp4",5,"Exp4",0.714879664509287,0.847869562463338,0.208540228098813,0.845730486457144,-0.379404362231439,0.144478974436259
