"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","mu_post","log_lik"
"17237",0.74,5,9,"Exp3","Exp3",0.555977432134449,0.906805787087095,0.226205621571131,0.905461338014796,-0.181232638289483,0.053108059877559
"17238",0.75,5,9,"Exp3","Exp3",0.555977432134449,0.912221863837138,0.226281315631515,0.913264104030888,-0.175272514333094,0.0870712706795871
"17239",0.76,5,9,"Exp3","Exp3",0.555977432134449,0.917598064004436,0.226373271239747,0.920630796170355,-0.169391334739589,0.0646811323713977
"17240",0.77,5,9,"Exp3","Exp3",0.555977432134449,0.922935201034571,0.226480810280628,0.924341050545011,-0.163587035514705,0.0783123401726319
"17241",0.78,5,9,"Exp3","Exp3",0.555977432134449,0.928234061460792,0.226603286782792,0.925230143383251,-0.157857632565256,0.0689723070133993
"17242",0.79,5,9,"Exp3","Exp3",0.555977432134449,0.933495406126988,0.226740085099388,0.932629429085843,-0.152201217627456,0.0731078187960663
"17243",0.8,5,9,"Exp3","Exp3",0.555977432134449,0.938719971340364,0.226890618210906,0.935830041389788,-0.146615954451345,0.0587343242248731
"17244",0.81,5,9,"Exp3","Exp3",0.555977432134449,0.943908469958661,0.227054326140567,0.944218483308421,-0.141100075222224,0.0840849725497758
"17245",0.82,5,9,"Exp3","Exp3",0.555977432134449,0.949061592416427,0.227230674473552,0.953456517658999,-0.135651877201659,0.0696422192498562
"17246",0.83,5,9,"Exp3","Exp3",0.555977432134449,0.954180007694429,0.227419152972126,0.956586005301309,-0.130269719572063,0.0621288821163325
"17247",0.84,5,9,"Exp3","Exp3",0.555977432134449,0.95926436423602,0.227619274279417,0.95949176406567,-0.124952020470252,0.0734376416314946
"17248",0.85,5,9,"Exp3","Exp3",0.555977432134449,0.964315290813949,0.227830572705224,0.96559136675326,-0.119697254196533,0.0655089665171432
"17249",0.86,5,9,"Exp3","Exp3",0.555977432134449,0.969333397350846,0.228052603087811,0.970171741853218,-0.114503948587023,0.0455634808943532
"17250",0.87,5,9,"Exp3","Exp3",0.555977432134449,0.974319275696367,0.228284939726144,0.972791039281159,-0.10937068253786,0.0685015173354069
"17251",0.88,5,9,"Exp3","Exp3",0.555977432134449,0.979273500363759,0.228527175377494,0.981246285239358,-0.104296083670901,0.06303761001174
"17252",0.89,5,9,"Exp3","Exp3",0.555977432134449,0.984196629228403,0.228778920315761,0.982170699200906,-0.0992788261313107,0.0613958567382514
"17253",0.9,5,9,"Exp3","Exp3",0.555977432134449,0.989089204190687,0.22903980144623,0.993070472784502,-0.0943176285081974,0.0568529532541786
"17254",0.91,5,9,"Exp3","Exp3",0.555977432134449,0.993951751805431,0.229309461472838,0.995096238869523,-0.0894112518701363,0.0527258813756195
"17255",0.92,5,9,"Exp3","Exp3",0.555977432134449,0.998784783879876,0.229587558114331,0.99754912986811,-0.0845584979080494,0.0562724192478994
"17256",0.93,5,9,"Exp3","Exp3",0.555977432134449,1.00358879804214,0.229873763365981,1.00630423584619,-0.0797582071784766,0.0453431021798042
"17257",0.94,5,9,"Exp3","Exp3",0.555977432134449,1.00836427828191,0.2301677628038,1.00833094866948,-0.0750092574407936,0.0421848091326344
"17258",0.95,5,9,"Exp3","Exp3",0.555977432134449,1.01311169546499,0.230469254928399,1.0167992407799,-0.0703105620824146,0.0574078941558971
"17259",0.96,5,9,"Exp3","Exp3",0.555977432134449,1.01783150782323,0.230777950545891,1.01844896891647,-0.0656610686264479,0.0584742831844416
"17260",0.97,5,9,"Exp3","Exp3",0.555977432134449,1.02252416142128,0.231093572183412,1.02109210790372,-0.0610597573166806,0.0534517882573327
"17261",0.98,5,9,"Exp3","Exp3",0.555977432134449,1.02719009060147,0.231415853537021,1.02712375128096,-0.0565056397751319,0.0584952381308014
"17262",0.99,5,9,"Exp3","Exp3",0.555977432134449,1.03182971840806,0.231744538949905,1.03507406646715,-0.0519977577277537,0.0520717083093162
"17263",1,5,9,"Exp3","Exp3",0.555977432134449,1.03644345699204,0.232079382918968,1.03368340583467,-0.0475351817941708,0.0528988193943333
"17264",1.01,5,9,"Exp3","Exp3",0.555977432134449,1.04103170799744,0.232420149628021,1.0396803469404,-0.0431170103376352,0.0403696619588998
"17265",1.02,5,9,"Exp3","Exp3",0.555977432134449,1.04559486293043,0.232766612505921,1.04722539173616,-0.0387423683716366,0.0276775499765523
"17266",1.03,5,9,"Exp3","Exp3",0.555977432134449,1.05013330351179,0.233118553808119,1.04418678439253,-0.0344104065198502,0.0292652398979497
"17267",1.04,5,9,"Exp3","Exp3",0.555977432134449,1.05464740201393,0.233475764220186,1.05377846108421,-0.0301203000263326,0.0401970282649223
"17268",1.05,5,9,"Exp3","Exp3",0.555977432134449,1.05913752158318,0.233838042481996,1.06066704166024,-0.0258712478130777,0.0311800687435252
"17269",1.06,5,9,"Exp3","Exp3",0.555977432134449,1.0636040165481,0.234205195031317,1.05814329162544,-0.0216624715822411,0.0154198082427037
"17270",1.07,5,9,"Exp3","Exp3",0.555977432134449,1.06804723271457,0.234577035665662,1.06600551633598,-0.0174932149605148,0.0273345912152953
"17271",1.08,5,9,"Exp3","Exp3",0.555977432134449,1.07246750764836,0.234953385221329,1.07392558504728,-0.0133627426833007,0.0385261597376395
"17272",1.09,5,9,"Exp3","Exp3",0.555977432134449,1.07686517094581,0.235334071268619,1.07588103785137,-0.00927033981648118,0.019179435755209
"17273",1.1,5,9,"Exp3","Exp3",0.555977432134449,1.0812405444932,0.235718927822299,1.08245395827175,-0.00521531101372697,0.0110203496780979
"17274",1.11,5,9,"Exp3","Exp3",0.555977432134449,1.08559394271542,0.236107795066437,1.08418953772763,-0.00119697980741222,0.030965816047909
"17275",1.12,5,9,"Exp3","Exp3",0.555977432134449,1.08992567281447,0.236500519092787,1.09041042245019,0.00278531206867183,0.0424592750056575
"17276",1.13,5,9,"Exp3","Exp3",0.555977432134449,1.09423603499824,0.236896951651962,1.09515115735469,0.0067322053264992,0.0243354759944216
"17277",1.14,5,9,"Exp3","Exp3",0.555977432134449,1.09852532270012,0.237296949916681,1.09535408056663,0.0106443237424821,0.0357319043496647
"17278",1.15,5,9,"Exp3","Exp3",0.555977432134449,1.10279382278984,0.23770037625641,1.10229750952906,0.0145222747491244,0.021812183134318
"17279",1.16,5,9,"Exp3","Exp3",0.555977432134449,1.10704181577597,0.238107098022786,1.11104508976695,0.0183666500010633,0.0289953997453306
"17280",1.17,5,9,"Exp3","Exp3",0.555977432134449,1.1112695760005,0.238516987345216,1.10841084257508,0.0221780259168146,-0.00401912028112957
"17281",1.18,5,9,"Exp3","Exp3",0.555977432134449,1.11547737182586,0.238929920936112,1.11068880932055,0.0259569641974663,0.00579202646562193
"17282",1.19,5,9,"Exp3","Exp3",0.555977432134449,1.11966546581471,0.239345779905241,1.11965850732989,0.0297040123234831,0.0135007092636
"17283",1.2,5,9,"Exp3","Exp3",0.555977432134449,1.12383411490286,0.239764449582696,1.11982770109655,0.033419704030726,0.0161388208314318
"17284",1.21,5,9,"Exp3","Exp3",0.555977432134449,1.1279835705657,0.24018581935004,1.12552836723659,0.0371045597667167,-0.00756702122090978
"17285",1.22,5,9,"Exp3","Exp3",0.555977432134449,1.13211407897829,0.240609782479189,1.12977175528211,0.0407590871281276,0.0107590419030897
"17286",1.23,5,9,"Exp3","Exp3",0.555977432134449,1.13622588116956,0.24103623597863,1.13531985128871,0.044383781280412,0.00735463771827887
"17287",1.24,5,9,"Exp3","Exp3",0.555977432134449,1.14031921317074,0.241465080446591,1.14160175103557,0.0479791253604468,0.0161031003249178
"17288",1.25,5,9,"Exp3","Exp3",0.555977432134449,1.14439430615841,0.241896219930809,1.1481929950164,0.0515455908630031,-0.00234172659130868
"17289",1.26,5,9,"Exp3","Exp3",0.555977432134449,1.1484513865923,0.24232956179456,1.14530380314235,0.055083638011819,-0.000568737638715355
"17290",1.27,5,9,"Exp3","Exp3",0.555977432134449,1.15249067634816,0.242765016588623,1.15007191510798,0.0585937161160056,0.0025845598906223
"17291",1.28,5,9,"Exp3","Exp3",0.555977432134449,1.15651239284583,0.243202497928892,1.15899899420535,0.0620762639124755,-0.0202100057147644
"17292",1.29,5,9,"Exp3","Exp3",0.555977432134449,1.16051674917278,0.243641922379346,1.1629547803162,0.0655317098950471,-0.0155456085557495
"17293",1.3,5,9,"Exp3","Exp3",0.555977432134449,1.16450395420333,0.244083209340108,1.16760311998389,0.0689604726308413,0.00171397114084859
"17294",1.31,5,9,"Exp3","Exp3",0.555977432134449,1.16847421271362,0.24452628094035,1.16677480101775,0.0723629610645559,-0.0136182322602234
"17295",1.32,5,9,"Exp3","Exp3",0.555977432134449,1.17242772549265,0.244971061935796,1.16792982162441,0.0757395748111698,-0.0110683905501949
"17296",1.33,5,9,"Exp3","Exp3",0.555977432134449,1.17636468944951,0.245417479610608,1.1776422592587,0.0790907044376018,-0.0107991097574402
"17297",1.34,5,9,"Exp3","Exp3",0.555977432134449,1.18028529771685,0.245865463683436,1.17975881967256,0.0824167317338203,-0.0101005399443869
"17298",1.35,5,9,"Exp3","Exp3",0.555977432134449,1.18418973975098,0.246314946217437,1.18024037674668,0.0857180299738732,-0.0192726461385989
"17299",1.36,5,9,"Exp3","Exp3",0.555977432134449,1.18807820142846,0.246765861534066,1.18757948454068,0.0889949641672868,-0.00816242441204881
"17300",1.37,5,9,"Exp3","Exp3",0.555977432134449,1.19195086513955,0.247218146130467,1.1935581583124,0.0922478913012551,-0.0123092839976951
"17301",1.38,5,9,"Exp3","Exp3",0.555977432134449,1.19580790987852,0.247671738600292,1.19061833964927,0.0954771605740211,-0.00698474815186815
"17302",1.39,5,9,"Exp3","Exp3",0.555977432134449,1.199649511331,0.248126579557783,1.20017948345858,0.098683113619835,-0.0286486921454115
"17303",1.4,5,9,"Exp3","Exp3",0.555977432134449,1.20347584195845,0.248582611564969,1.20014712242047,0.101866084725846,-0.0220385752180624
"17304",1.41,5,9,"Exp3","Exp3",0.555977432134449,1.20728707107992,0.24903977906183,1.21092206345823,0.105026401041277,-0.0324157334291114
"17305",1.42,5,9,"Exp3","Exp3",0.555977432134449,1.21108336495114,0.249498028299303,1.21189208112539,0.10816438277921,-0.0311574262263458
"17306",1.43,5,9,"Exp3","Exp3",0.555977432134449,1.2148648868411,0.249957307274975,1.21485539609191,0.111280343411285,-0.0366480756524081
"17307",1.44,5,9,"Exp3","Exp3",0.555977432134449,1.21863179710618,0.250417565671368,1.22048785083269,0.114374589855623,-0.0263026742799993
"17308",1.45,5,9,"Exp3","Exp3",0.555977432134449,1.22238425326196,0.250878754796683,1.22411719096437,0.117447422658237,-0.0295309397036952
"17309",1.46,5,9,"Exp3","Exp3",0.555977432134449,1.22612241005272,0.251340827527894,1.22850561188331,0.120499136168219,-0.0300046605374838
"17310",1.47,5,9,"Exp3","Exp3",0.555977432134449,1.22984641951888,0.25180373825609,1.22696488038625,0.123530018706939,-0.0413604457511468
"17311",1.48,5,9,"Exp3","Exp3",0.555977432134449,1.23355643106222,0.252267442833962,1.23602282884406,0.126540352731511,-0.0322276382789393
"17312",1.49,5,9,"Exp3","Exp3",0.555977432134449,1.23725259150924,0.252731898525345,1.23025593567249,0.129530414992761,-0.0415254349920495
"17313",1.5,5,9,"Exp3","Exp3",0.555977432134449,1.24093504517245,0.253197063956718,1.24058592847908,0.1325004766879,-0.0479611833593653
"17314",1.51,5,9,"Exp3","Exp3",0.555977432134449,1.24460393390991,0.253662899070577,1.24702044230502,0.135450803608135,-0.0558672291140726
"17315",1.52,5,9,"Exp3","Exp3",0.555977432134449,1.24825939718287,0.25412936508061,1.24387057078417,0.138381656281406,-0.0472633199962157
"17316",1.53,5,9,"Exp3","Exp3",0.555977432134449,1.25190157211184,0.254596424428578,1.25323258282777,0.141293290110434,-0.0354775568077644
"17317",1.54,5,9,"Exp3","Exp3",0.555977432134449,1.25553059353081,0.255064040742843,1.26349781783364,0.144185955506289,-0.0648004024190785
"17318",1.55,5,9,"Exp3","Exp3",0.555977432134449,1.25914659403998,0.25553217879847,1.25571961546843,0.147059898017621,-0.0573319610299582
"17319",1.56,5,9,"Exp3","Exp3",0.555977432134449,1.26274970405698,0.256000804478829,1.26726829897122,0.149915358455738,-0.047976412576867
"17320",1.57,5,9,"Exp3","Exp3",0.555977432134449,1.26634005186644,0.256469884738639,1.27130925870486,0.152752573015697,-0.0579303167800371
"17321",1.58,5,9,"Exp3","Exp3",0.555977432134449,1.26991776366829,0.256939387568396,1.27174840449215,0.155571773393538,-0.0694463281538417
"17322",1.59,5,9,"Exp3","Exp3",0.555977432134449,1.27348296362458,0.257409281960115,1.27250418708337,0.158373186899829,-0.0470923719684208
"17323",1.6,5,9,"Exp3","Exp3",0.555977432134449,1.27703577390498,0.257879537874351,1.27995114636624,0.161157036569649,-0.0548553503213627
"17324",1.61,5,9,"Exp3","Exp3",0.555977432134449,1.28057631473098,0.258350126208421,1.27872114130532,0.163923541269141,-0.0747419627941953
"17325",1.62,5,9,"Exp3","Exp3",0.555977432134449,1.28410470441887,0.258821018765803,1.28269197559635,0.16667291579877,-0.0490696306452212
"17326",1.63,5,9,"Exp3","Exp3",0.555977432134449,1.28762105942145,0.25929218822664,1.28699664145374,0.169405370993405,-0.0617087711130074
"17327",1.64,5,9,"Exp3","Exp3",0.555977432134449,1.29112549436868,0.259763608119324,1.28916934677839,0.172121113819335,-0.0720840219891136
"17328",1.65,5,9,"Exp3","Exp3",0.555977432134449,1.29461812210708,0.260235252793103,1.29866084223751,0.174820347468344,-0.0682190383442239
"17329",1.66,5,9,"Exp3","Exp3",0.555977432134449,1.29809905373814,0.26070709739167,1.29550483044108,0.177503271448931,-0.0657506956192281
"17330",1.67,5,9,"Exp3","Exp3",0.555977432134449,1.30156839865561,0.261179117827706,1.2997800558637,0.180170081674809,-0.0848697544686642
"17331",1.68,5,9,"Exp3","Exp3",0.555977432134449,1.30502626458186,0.261651290758326,1.30779738496989,0.182820970550742,-0.0712574635373042
"17332",1.69,5,9,"Exp3","Exp3",0.555977432134449,1.30847275760313,0.262123593561392,1.30779643053344,0.185456127055853,-0.0706571939149799
"17333",1.7,5,9,"Exp3","Exp3",0.555977432134449,1.31190798220397,0.262596004312677,1.308496695684,0.188075736824461,-0.0994955636884037
"17334",1.71,5,9,"Exp3","Exp3",0.555977432134449,1.31533204130064,0.263068501763816,1.32120914135509,0.190679982224553,-0.0972002020819053
"17335",1.72,5,9,"Exp3","Exp3",0.555977432134449,1.31874503627369,0.26354106532104,1.320426831385,0.193269042433971,-0.0834961691003552
"17336",1.73,5,9,"Exp3","Exp3",0.555977432134449,1.32214706699968,0.264013675024653,1.32675580320469,0.195843093514384,-0.080846212958043
"17337",1.74,5,9,"Exp3","Exp3",0.555977432134449,1.32553823188201,0.264486311529211,1.3218688180226,0.198402308483134,-0.072575999135824
"17338",1.75,5,9,"Exp3","Exp3",0.555977432134449,1.328918627881,0.264958956084401,1.33092786124929,0.20094685738302,-0.0901085433862371
"17339",1.76,5,9,"Exp3","Exp3",0.555977432134449,1.33228835054318,0.265431590516567,1.33415815518883,0.203476907350093,-0.0906225905721478
"17340",1.77,5,9,"Exp3","Exp3",0.555977432134449,1.33564749402978,0.265904197210877,1.3373970264196,0.205992622679537,-0.0972254122414593
"17341",1.78,5,9,"Exp3","Exp3",0.555977432134449,1.33899615114456,0.266376759094093,1.33648642731373,0.208494164889683,-0.10728849815425
"17342",1.79,5,9,"Exp3","Exp3",0.555977432134449,1.34233441336082,0.266849259617935,1.34294424890762,0.210981692784243,-0.094399348052667
"17343",1.8,5,9,"Exp3","Exp3",0.555977432134449,1.3456623708479,0.267321682743002,1.34781109309504,0.213455362512797,-0.0879176992978155
"17344",0.4,1,10,"Exp3","Exp3",0.564818782509308,0.633759711327146,0.192707302049311,0.632880572305026,-0.537624811372467,0.226197852594491
"17345",0.41,1,10,"Exp3","Exp3",0.564818782509308,0.640593021744287,0.192355086908849,0.637134666783898,-0.526879050162363,0.246857301886596
"17346",0.42,1,10,"Exp3","Exp3",0.564818782509308,0.647333017932768,0.192059174768272,0.649265395052689,-0.516392248327643,0.233813960193142
"17347",0.43,1,10,"Exp3","Exp3",0.564818782509308,0.65398315476504,0.19181573815513,0.657149311690214,-0.506152217816513,0.239558829197185
"17348",0.44,1,10,"Exp3","Exp3",0.564818782509308,0.660546682266097,0.19162126120865,0.657071518838423,-0.496147611285964,0.244158343945539
"17349",0.45,1,10,"Exp3","Exp3",0.564818782509308,0.667026662114408,0.191472508821033,0.667996588837772,-0.486367846515773,0.214677221784876
"17350",0.46,1,10,"Exp3","Exp3",0.564818782509308,0.673425982478354,0.191366499420624,0.67036063443215,-0.476803039130782,0.248728069307183
"17351",0.47,1,10,"Exp3","Exp3",0.564818782509308,0.679747371388426,0.19130048089729,0.680204502969528,-0.467443942559118,0.245517177560663
"17352",0.48,1,10,"Exp3","Exp3",0.564818782509308,0.685993408817632,0.191271909248215,0.686055192089971,-0.458281894312076,0.241826547072561
"17353",0.49,1,10,"Exp3","Exp3",0.564818782509308,0.692166537619089,0.19127842958668,0.694689106335879,-0.449308767803399,0.246858701430527
"17354",0.5,1,10,"Exp3","Exp3",0.564818782509308,0.698269073449923,0.191317859209805,0.701046400454198,-0.440516929036353,0.233586034766957
"17355",0.51,1,10,"Exp3","Exp3",0.564818782509308,0.704303213793737,0.191388172465718,0.707850996097782,-0.431899197580087,0.243155696256298
"17356",0.52,1,10,"Exp3","Exp3",0.564818782509308,0.710271046179514,0.191487487197874,0.709083278455421,-0.423448811335455,0.238786010896239
"17357",0.53,1,10,"Exp3","Exp3",0.564818782509308,0.716174555682531,0.191614052575472,0.721144235779996,-0.415159394657108,0.231634850088907
"17358",0.54,1,10,"Exp3","Exp3",0.564818782509308,0.722015631782326,0.191766238145309,0.721093009092028,-0.407024929455381,0.237452680510408
"17359",0.55,1,10,"Exp3","Exp3",0.564818782509308,0.727796074643649,0.191942523962665,0.724910931960801,-0.39903972894985,0.227596103752596
"17360",0.56,1,10,"Exp3","Exp3",0.564818782509308,0.73351760087852,0.192141491677732,0.736241417697977,-0.391198413787832,0.233207976468606
"17361",0.57,1,10,"Exp3","Exp3",0.564818782509308,0.739181848840726,0.192361816470218,0.735945778956139,-0.383495890276644,0.232639127395117
"17362",0.58,1,10,"Exp3","Exp3",0.564818782509308,0.744790383498197,0.192602259738482,0.743807590706148,-0.375927330509008,0.220658034638946
"17363",0.59,1,10,"Exp3","Exp3",0.564818782509308,0.75034470092359,0.192861662461348,0.748267019018604,-0.368488154187394,0.226451572550318
"17364",0.6,1,10,"Exp3","Exp3",0.564818782509308,0.755846232438928,0.193138939160875,0.757119132955717,-0.361174011975961,0.225549049893706
"17365",0.61,1,10,"Exp3","Exp3",0.564818782509308,0.761296348446261,0.19343307240304,0.76235236341129,-0.353980770228562,0.219561083516286
"17366",0.62,1,10,"Exp3","Exp3",0.564818782509308,0.766696361972852,0.193743107780876,0.767587731981929,-0.346904496958548,0.229616559610755
"17367",0.63,1,10,"Exp3","Exp3",0.564818782509308,0.772047531956423,0.19406814933107,0.769855578614741,-0.339941448931137,0.215677407935551
"17368",0.64,1,10,"Exp3","Exp3",0.564818782509308,0.777351066293321,0.194407355340727,0.780787866512745,-0.333088059772264,0.234491875886167
"17369",0.65,1,10,"Exp3","Exp3",0.564818782509308,0.782608124670139,0.194759934505921,0.781270038955415,-0.32634092899934,0.213661945714629
"17370",0.66,1,10,"Exp3","Exp3",0.564818782509308,0.787819821197256,0.195125142407947,0.789109876319592,-0.319696811889458,0.228357339301905
"17371",0.67,1,10,"Exp3","Exp3",0.564818782509308,0.792987226860939,0.195502278276952,0.794818837159201,-0.313152610109482,0.212958621204771
"17372",0.68,1,10,"Exp3","Exp3",0.564818782509308,0.798111371809012,0.195890682015922,0.794339848046272,-0.306705363040275,0.215265155507761
"17373",0.69,1,10,"Exp3","Exp3",0.564818782509308,0.803193247483666,0.196289731460875,0.801313708760594,-0.300352239734276,0.217601058936508
"17374",0.7,1,10,"Exp3","Exp3",0.564818782509308,0.808233808613693,0.196698839855682,0.804980180479762,-0.294090531451717,0.211789839497788
"17375",0.71,1,10,"Exp3","Exp3",0.564818782509308,0.813233975077276,0.197117453522159,0.813946888298448,-0.287917644726257,0.208155219475228
"17376",0.72,1,10,"Exp3","Exp3",0.564818782509308,0.818194633645445,0.19754504970806,0.812375037696781,-0.28183109491557,0.207839321035774
"17377",0.73,1,10,"Exp3","Exp3",0.564818782509308,0.82311663961539,0.197981134597373,0.825271096569678,-0.275828500196779,0.204196929888481
"17378",0.74,1,10,"Exp3","Exp3",0.564818782509308,0.828000818341999,0.198425241468847,0.826435426328205,-0.26990757597039,0.197538301351427
"17379",0.75,1,10,"Exp3","Exp3",0.564818782509308,0.832847966675249,0.198876928990088,0.830354106895228,-0.264066129639847,0.183422692176458
"17380",0.76,1,10,"Exp3","Exp3",0.564818782509308,0.837658854310406,0.199335779635772,0.833996509910212,-0.258302055736833,0.194778460080619
"17381",0.77,1,10,"Exp3","Exp3",0.564818782509308,0.842434225057402,0.199801398219624,0.840425399783462,-0.252613331365214,0.180127954245236
"17382",0.78,1,10,"Exp3","Exp3",0.564818782509308,0.847174798035211,0.200273410530803,0.846063373490952,-0.246998011938949,0.194702933681728
"17383",0.79,1,10,"Exp3","Exp3",0.564818782509308,0.851881268796555,0.200751462066185,0.849204563089685,-0.241454227191481,0.185067332801363
"17384",0.8,1,10,"Exp3","Exp3",0.564818782509308,0.856554310387834,0.201235216850834,0.863737872375635,-0.23598017743615,0.190394762870331
"17385",0.81,1,10,"Exp3","Exp3",0.564818782509308,0.861194574348765,0.201724356339653,0.861926172167487,-0.230574130058875,0.171078083333019
"17386",0.82,1,10,"Exp3","Exp3",0.564818782509308,0.865802691655872,0.202218578393833,0.865256747895241,-0.225234416226046,0.182778481989546
"17387",0.83,1,10,"Exp3","Exp3",0.564818782509308,0.870379273613611,0.202717596326282,0.874939502276886,-0.219959427791936,0.178282798653605
"17388",0.84,1,10,"Exp3","Exp3",0.564818782509308,0.87492491269664,0.20322113801074,0.874675873943291,-0.214747614391326,0.175160825757816
